level,logical_room,physical_background,map_source_runtime,player_start,automatic_enemy_spawn,spawn_side,spawn_marker_status,level_exit_docking_room,level4_portal,horizontal_elevators,vertical_elevators,other_special_objects
2,20,17,$0424D0,,no,,,no,,,,"$1F5@15,2:directional_mover;$31C@5,3:weapon_or_hazard_emitter;$1F5@9,3:directional_mover;$1F5@13,3:directional_mover;$1F5@11,4:directional_mover;$1F3@13,7:bonus_object;$1F3@14,7:bonus_object;$1F4@10,9:directional_mover;$1F4@12,9:directional_mover"
2,21,16,$0424A8,,no,,,no,,,,"$30C@14,4:weapon_or_hazard_emitter;$232@6,5:static_instantiated_object;$242@3,7:static_instantiated_object"
2,24,22,$042598,,no,,,yes,,,,"$1F5@9,3:directional_mover;$1F5@12,3:directional_mover;$253@5,6:animated_mechanism;$253@8,6:animated_mechanism;$254@5,7:animated_mechanism;$254@8,7:animated_mechanism;$255@5,8:animated_mechanism;$255@8,8:animated_mechanism;$1F4@11,8:directional_mover;$1F4@12,8:directional_mover;$256@5,9:animated_mechanism;$24D@6,9:animated_mechanism;$256@8,9:animated_mechanism;$1F4@10,9:directional_mover"
2,25,21,$042570,,yes,LEFT,complete,no,,,"(12,2)->(12,6)","$253@5,4:animated_mechanism;$256@8,4:animated_mechanism;$254@5,5:animated_mechanism;$25D@6,5:animated_mechanism;$25C@7,5:animated_mechanism;$255@8,5:animated_mechanism;$255@5,6:animated_mechanism;$25C@6,6:animated_mechanism;$25D@7,6:animated_mechanism;$254@8,6:animated_mechanism;$256@5,7:animated_mechanism;$24D@6,7:animated_mechanism;$253@8,7:animated_mechanism;$253@5,8:animated_mechanism;$256@8,8:animated_mechanism"
2,26,20,$042548,,yes,LEFT,complete,no,,,,"$1F3@6,2:bonus_object;$232@3,6:static_instantiated_object;$1F4@8,7:directional_mover;$1F4@9,7:directional_mover;$1F4@13,7:directional_mover;$1F4@14,7:directional_mover;$1F4@11,8:directional_mover"
2,27,19,$042520,,no,,,no,,,,"$329@5,8:right_firing_emitter;$09F@8,9:particle_or_hazard_emitter;$1F3@11,9:bonus_object;$1F3@13,9:bonus_object;$1F3@15,9:bonus_object;$1F3@17,9:bonus_object"
2,28,18,$0424F8,,no,,,no,,,,"$1FA@12,4:bonus_object;$1F2@15,4:bonus_object;$232@3,6:static_instantiated_object;$1F3@13,7:bonus_object;$1F3@16,7:bonus_object"
3,0,1,$0449D8,,no,,,no,,,,"$1F5@2,2:directional_mover;$1F5@3,3:directional_mover;$1F5@5,4:directional_mover;$31C@9,4:weapon_or_hazard_emitter;$300@9,5:active_room_controller;$1F2@3,6:bonus_object;$1F2@5,6:bonus_object;$1F2@4,7:bonus_object"
3,1,0,$0449B0,"16,6",no,,,no,,,,"$1F5@2,2:directional_mover;$1F5@3,2:directional_mover;$1F5@6,2:directional_mover;$1F5@7,2:directional_mover;$1F4@2,8:directional_mover;$1F4@3,8:directional_mover;$1F2@4,8:bonus_object;$1F4@6,8:directional_mover;$1F4@7,8:directional_mover"
3,2,11,$044B68,,yes,BOTTOM,complete,no,,,,"$30C@8,3:weapon_or_hazard_emitter"
3,3,12,$044B90,,yes,RIGHT,complete,no,,,"(8,1)->(8,6);(10,1)->(10,6);(12,1)->(12,6)","$1FA@6,2:bonus_object"
3,4,13,$044BB8,,yes,LEFT,complete,no,,,,"$30C@4,2:weapon_or_hazard_emitter;$1F5@11,2:directional_mover;$1F5@12,2:directional_mover"
3,5,14,$044BE0,,no,,,no,,,,"$1FD@14,2:crp_mover;$1FD@16,2:crp_mover;$1FD@15,3:crp_mover;$1FD@14,4:crp_mover;$1F3@17,4:bonus_object;$1FD@13,5:crp_mover;$1FD@12,6:crp_mover;$1F3@15,6:bonus_object"
3,6,23,$044D48,,no,,,no,,,,"$1F5@4,3:directional_mover;$1F5@5,3:directional_mover;$1F5@8,3:directional_mover;$1F5@9,3:directional_mover;$1F5@12,3:directional_mover;$1F5@13,3:directional_mover;$1F5@16,3:directional_mover;$1F5@17,3:directional_mover;$1F3@2,4:bonus_object;$1FA@3,4:bonus_object;$1F2@4,4:bonus_object"
3,7,24,$044D70,,yes,BOTTOM,complete,no,,,,"$1F5@11,2:directional_mover;$30C@14,3:weapon_or_hazard_emitter"
3,8,2,$044A00,,yes,RIGHT,complete,no,,,,"$30C@9,4:weapon_or_hazard_emitter;$242@3,7:static_instantiated_object"
3,9,3,$044A28,,no,,,no,,,,"$1F3@9,2:bonus_object;$1FA@11,2:bonus_object;$1F2@13,2:bonus_object;$1F5@8,3:directional_mover;$1F5@10,4:directional_mover;$1F5@12,5:directional_mover"
3,10,10,$044B40,,yes,TOP,complete,no,,,,"$300@4,3:active_room_controller"
3,11,17,$044C58,,yes,BOTTOM,complete,no,,,,"$25B@16,5:animated_mechanism;$25E@16,6:animated_mechanism"
3,12,16,$044C30,,no,,,no,,,,"$1FF@7,2:crp_mover;$1FF@8,2:crp_mover;$1FF@9,2:crp_mover;$1FF@10,2:crp_mover;$1FF@11,2:crp_mover;$266@8,3:animated_mechanism;$329@4,6:right_firing_emitter"
3,13,15,$044C08,,no,,,no,,"(5,8)->(6,8)","(11,4)->(11,8)","$232@8,6:static_instantiated_object;$09F@14,9:particle_or_hazard_emitter"
3,14,22,$044D20,,yes,TOP,complete,no,,,,"$1F4@3,7:directional_mover;$1F4@4,7:directional_mover;$1F4@8,7:directional_mover;$1F4@9,7:directional_mover;$1F4@2,8:directional_mover;$1F4@6,8:directional_mover;$1F4@10,8:directional_mover"
3,15,25,$044D98,,yes,BOTTOM,complete,no,,,,
3,16,5,$044A78,,no,,,no,,,,"$1FD@12,2:crp_mover;$1FD@13,2:crp_mover;$1F4@12,8:directional_mover;$1F4@13,8:directional_mover"
3,17,4,$044A50,,no,,,no,,,,"$1F3@7,2:bonus_object;$1F3@9,2:bonus_object;$1F3@11,2:bonus_object;$1F3@13,2:bonus_object;$346@11,6:left_firing_emitter"
3,18,9,$044B18,,yes,TOP,complete,no,,,,"$232@2,6:static_instantiated_object;$242@5,7:static_instantiated_object"
3,19,18,$044C80,,no,,,no,,,,"$1F4@9,6:directional_mover;$1F4@10,6:directional_mover;$30C@16,6:weapon_or_hazard_emitter;$1F4@8,7:directional_mover;$1F4@11,7:directional_mover;$1F4@6,8:directional_mover;$1F4@13,8:directional_mover"
3,20,19,$044CA8,,yes,RIGHT,complete,no,,,,"$25F@14,2:animated_mechanism;$258@15,2:animated_mechanism;$257@16,2:animated_mechanism;$25A@17,2:animated_mechanism;$259@18,2:animated_mechanism;$25A@19,2:animated_mechanism;$300@15,5:active_room_controller;$232@3,6:static_instantiated_object;$1F4@6,7:directional_mover;$1F4@7,7:directional_mover;$1F4@9,7:directional_mover;$1F4@10,7:directional_mover;$1F4@8,8:directional_mover;$1F4@11,8:directional_mover;$25F@18,8:animated_mechanism;$257@19,8:animated_mechanism"
3,21,20,$044CD0,,yes,RIGHT,complete,no,,,,"$257@0,2:animated_mechanism;$258@1,2:animated_mechanism;$25A@2,2:animated_mechanism;$258@3,2:animated_mechanism;$258@5,2:animated_mechanism;$25A@6,2:animated_mechanism;$257@7,2:animated_mechanism;$259@8,2:animated_mechanism;$258@10,2:animated_mechanism;$257@11,2:animated_mechanism;$257@12,2:animated_mechanism;$25A@13,2:animated_mechanism;$258@14,2:animated_mechanism;$257@15,2:animated_mechanism;$25A@16,2:animated_mechanism;$258@17,2:animated_mechanism;$259@18,2:animated_mechanism;$25A@19,2:animated_mechanism;$25D@4,3:animated_mechanism;$25B@9,3:animated_mechanism;$25E@4,4:animated_mechanism;$25E@9,4:animated_mechanism;$25C@4,5:animated_mechanism;$25E@9,5:animated_mechanism;$25D@4,6:animated_mechanism;$25D@9,6:animated_mechanism;$25E@4,7:animated_mechanism;$25C@9,7:animated_mechanism;$258@0,8:animated_mechanism;$259@1,8:animated_mechanism;$25A@2,8:animated_mechanism;$257@3,8:animated_mechanism;$257@5,8:animated_mechanism;$258@6,8:animated_mechanism;$259@7,8:animated_mechanism;$25A@8,8:animated_mechanism;$25A@10,8:animated_mechanism;$259@11,8:animated_mechanism;$25A@12,8:animated_mechanism;$258@13,8:animated_mechanism;$257@14,8:animated_mechanism;$259@15,8:animated_mechanism;$257@16,8:animated_mechanism;$259@17,8:animated_mechanism;$25A@18,8:animated_mechanism;$257@19,8:animated_mechanism"
3,22,21,$044CF8,,yes,TOP,complete,no,,,,"$257@0,2:animated_mechanism;$259@1,2:animated_mechanism;$25A@2,2:animated_mechanism;$257@3,2:animated_mechanism;$258@4,2:animated_mechanism;$257@5,2:animated_mechanism;$265@6,2:animated_mechanism;$30C@8,3:weapon_or_hazard_emitter;$300@6,5:active_room_controller;$258@0,8:animated_mechanism;$259@1,8:animated_mechanism;$25A@2,8:animated_mechanism;$257@3,8:animated_mechanism;$265@4,8:animated_mechanism"
3,23,26,$044DC0,,yes,BOTTOM,"marker count ST=0, ED=2; missing fields persist in RAM from earlier room state",no,,,,"$232@7,3:static_instantiated_object;$242@5,4:static_instantiated_object"
3,24,6,$044AA0,,yes,RIGHT,complete,no,,,,"$30C@14,3:weapon_or_hazard_emitter;$232@5,6:static_instantiated_object"
3,25,7,$044AC8,,yes,RIGHT,complete,no,,,,"$1FA@10,2:bonus_object;$1F4@9,7:directional_mover;$1F4@10,7:directional_mover;$1F4@8,8:directional_mover;$1F4@11,8:directional_mover"
3,26,8,$044AF0,,no,,,no,,,"(2,2)->(2,6);(4,3)->(4,7);(6,4)->(6,8);(8,5)->(8,9)",
3,27,31,$044E88,,no,,,yes,,,"(5,2)->(5,6);(7,3)->(7,7);(11,3)->(11,7);(9,4)->(9,8)","$1F3@2,2:bonus_object;$253@1,6:animated_mechanism;$253@4,6:animated_mechanism;$1F4@14,6:directional_mover;$254@1,7:animated_mechanism;$254@4,7:animated_mechanism;$255@1,8:animated_mechanism;$255@4,8:animated_mechanism;$256@1,9:animated_mechanism;$24D@2,9:animated_mechanism;$256@4,9:animated_mechanism"
3,28,30,$044E60,,no,,,no,,,,"$1F5@4,2:directional_mover;$1F5@5,2:directional_mover;$1F5@10,2:directional_mover;$1F5@11,2:directional_mover;$232@6,6:static_instantiated_object;$242@4,7:static_instantiated_object;$1FA@11,7:bonus_object;$1F2@13,7:bonus_object;$1F4@10,8:directional_mover;$1F4@12,8:directional_mover"
3,29,29,$044E38,,yes,LEFT,complete,no,,,,"$1F3@13,2:bonus_object;$30C@8,3:weapon_or_hazard_emitter;$300@9,5:active_room_controller;$1F3@10,5:bonus_object;$1F3@16,6:bonus_object"
3,30,28,$044E10,,no,,,no,,,,"$1F3@9,2:bonus_object;$1F3@7,4:bonus_object;$1F3@11,4:bonus_object;$329@4,6:right_firing_emitter;$09F@7,8:particle_or_hazard_emitter"
3,31,27,$044DE8,,no,,,no,,,,"$346@14,6:left_firing_emitter"
4,0,0,$0480B0,,no,,,no,,"(1,4)->(10,4);(6,6)->(14,6)",,"$1F2@1,9:bonus_object;$1F2@2,9:bonus_object;$1F2@3,9:bonus_object"
4,1,1,$0480D8,,no,,,no,,"(1,4)->(6,4)",,"$1F3@13,1:bonus_object;$1F3@15,1:bonus_object;$1F3@3,7:bonus_object;$1F3@5,7:bonus_object;$1F3@7,7:bonus_object;$1F3@9,7:bonus_object;$1F3@11,7:bonus_object"
4,2,2,$048100,,no,,,no,,,,"$1F5@12,1:directional_mover;$200@6,5:random_bonus_or_object_generator;$1F4@15,5:directional_mover;$1F1@1,8:directional_mover"
4,3,3,$048128,,no,,,no,,,,"$26B@19,0:animated_mechanism;$25B@19,1:animated_mechanism;$25C@19,2:animated_mechanism;$329@6,3:right_firing_emitter;$31C@11,3:weapon_or_hazard_emitter;$346@15,3:left_firing_emitter;$25D@19,3:animated_mechanism;$267@19,4:animated_mechanism;$1F1@1,7:directional_mover;$1F0@18,7:directional_mover;$1F1@1,8:directional_mover;$1F0@18,9:directional_mover"
4,4,4,$048150,,no,,,no,,,,"$1F3@3,1:bonus_object;$1F3@4,1:bonus_object;$1F5@9,1:directional_mover;$1F5@11,1:directional_mover;$1F1@3,4:directional_mover;$1F1@3,5:directional_mover;$300@4,6:active_room_controller;$300@14,6:active_room_controller"
4,5,5,$048178,,no,,,no,,,,"$1F5@18,1:directional_mover;$200@15,3:random_bonus_or_object_generator;$1F4@13,9:directional_mover;$1F4@14,9:directional_mover;$1F4@15,9:directional_mover;$1F4@18,9:directional_mover"
4,6,6,$0481A0,,no,,,no,,,,"$31C@9,3:weapon_or_hazard_emitter;$232@16,7:static_instantiated_object;$1F4@6,9:directional_mover;$1F4@7,9:directional_mover;$1F4@8,9:directional_mover;$1F4@10,9:directional_mover;$1F4@11,9:directional_mover;$1F4@12,9:directional_mover"
4,7,7,$0481C8,,no,,,no,,,,"$1FE@3,1:crp_mover;$1FE@4,1:crp_mover;$1FE@5,1:crp_mover;$1FC@6,1:crp_mover;$1FC@7,1:crp_mover;$1FC@8,1:crp_mover;$1F5@9,1:directional_mover;$1F5@10,1:directional_mover;$1F5@11,1:directional_mover;$1F5@12,1:directional_mover;$1F3@11,8:bonus_object"
4,8,8,$048E70,,no,,,no,,,,"$1FE@2,2:crp_mover;$200@8,5:random_bonus_or_object_generator;$1FE@8,8:crp_mover"
4,9,9,$048E98,"16,3",no,,,no,,,"(6,1)->(6,5)","$1F0@18,1:directional_mover;$300@2,6:active_room_controller;$1F3@17,7:bonus_object;$1F4@18,9:directional_mover"
4,10,10,$048EC0,,no,,,no,"(0x130,0x88)->room 26 (0x30,0x28)","(3,3)->(10,3);(4,4)->(11,4);(5,6)->(10,6)",,"$1FC@1,8:crp_mover"
4,11,11,$048EE8,,no,,,no,,,,"$1FD@4,3:crp_mover;$1FD@5,3:crp_mover;$1FD@6,3:crp_mover;$1FD@7,3:crp_mover;$1FE@12,3:crp_mover;$1FE@13,3:crp_mover;$1FE@14,3:crp_mover;$1FE@15,3:crp_mover;$1F2@3,5:bonus_object;$2E2@5,5:random_bonus_or_object_generator;$1F2@8,5:bonus_object;$232@12,7:static_instantiated_object;$242@10,8:static_instantiated_object;$25F@3,10:animated_mechanism;$258@4,10:animated_mechanism;$259@5,10:animated_mechanism;$25A@6,10:animated_mechanism;$257@7,10:animated_mechanism;$263@8,10:animated_mechanism"
4,12,12,$048F10,,no,,,no,,,,"$26B@12,1:animated_mechanism;$1F5@13,1:directional_mover;$1F5@14,1:directional_mover;$1F5@15,1:directional_mover;$1F5@16,1:directional_mover;$30C@6,2:weapon_or_hazard_emitter;$25C@12,2:animated_mechanism;$300@3,3:active_room_controller;$25D@12,3:animated_mechanism;$25E@12,4:animated_mechanism;$267@12,5:animated_mechanism;$1F4@17,5:directional_mover;$300@9,6:active_room_controller"
4,13,13,$048F38,,no,,,no,,,,"$346@13,2:left_firing_emitter;$329@4,3:right_firing_emitter;$200@8,4:random_bonus_or_object_generator;$346@13,6:left_firing_emitter;$329@4,7:right_firing_emitter"
4,14,14,$048F60,,yes,RIGHT,complete,no,,,,"$1F3@1,1:bonus_object;$1F3@2,1:bonus_object;$1F4@10,4:directional_mover;$1F0@9,5:directional_mover;$1F1@11,5:directional_mover;$1F5@10,6:directional_mover"
4,15,15,$048F88,,no,,,no,,,"(6,2)->(6,6);(8,3)->(8,7)","$1F2@6,1:bonus_object;$31C@2,3:weapon_or_hazard_emitter;$1FF@5,4:crp_mover;$1FE@9,4:crp_mover;$2E2@16,4:random_bonus_or_object_generator;$232@1,7:static_instantiated_object"
4,16,16,$049C30,,yes,BOTTOM,complete,no,,,,"$346@11,4:left_firing_emitter"
4,17,17,$049C58,,no,,,no,,"(4,4)->(10,4);(5,6)->(11,6)","(7,2)->(7,7);(9,3)->(9,8)",
4,18,18,$049C80,,no,,,no,,,,"$1F4@8,9:directional_mover;$1F4@9,9:directional_mover;$1F4@15,9:directional_mover;$1F4@16,9:directional_mover"
4,19,19,$049CA8,,no,,,no,,,,"$25F@8,3:animated_mechanism;$25A@9,3:animated_mechanism;$258@10,3:animated_mechanism;$257@11,3:animated_mechanism;$259@12,3:animated_mechanism;$25A@13,3:animated_mechanism;$259@14,3:animated_mechanism;$25A@15,3:animated_mechanism;$257@16,3:animated_mechanism;$263@17,3:animated_mechanism;$262@8,4:animated_mechanism;$258@9,4:animated_mechanism;$258@10,4:animated_mechanism;$25A@11,4:animated_mechanism;$259@12,4:animated_mechanism;$257@13,4:animated_mechanism;$257@14,4:animated_mechanism;$259@15,4:animated_mechanism;$25A@16,4:animated_mechanism;$264@17,4:animated_mechanism;$1F0@18,6:directional_mover;$1F1@1,7:directional_mover;$1F0@18,8:directional_mover;$1F4@3,9:directional_mover;$1F2@4,9:bonus_object;$1F4@6,9:directional_mover;$1F2@7,9:bonus_object;$1F4@9,9:directional_mover;$1F4@12,9:directional_mover;$1F4@15,9:directional_mover;$1F2@16,9:bonus_object"
4,20,20,$049CD0,,no,,,no,,"(13,1)->(17,1);(14,3)->(18,3);(13,5)->(17,5);(14,7)->(18,7)",,"$1F0@6,1:directional_mover;$1F1@1,2:directional_mover;$1F5@7,2:directional_mover;$1F0@10,2:directional_mover;$1F4@3,3:directional_mover;$1F0@2,4:directional_mover;$1F1@4,4:directional_mover;$1F5@3,5:directional_mover;$1F4@7,5:directional_mover;$1F0@6,6:directional_mover;$1F1@8,6:directional_mover;$1F0@2,7:directional_mover;$1F1@4,7:directional_mover;$1F5@7,7:directional_mover;$1F5@3,8:directional_mover"
4,21,21,$049CF8,,no,,,no,,,,"$31C@5,4:weapon_or_hazard_emitter;$31C@15,4:weapon_or_hazard_emitter;$232@13,5:static_instantiated_object;$232@4,6:static_instantiated_object;$242@11,6:static_instantiated_object"
4,22,22,$049D20,,no,,,no,,,,"$1F1@3,2:directional_mover;$1F5@9,2:directional_mover;$1F0@16,2:directional_mover;$300@4,5:active_room_controller;$346@12,6:left_firing_emitter;$1F3@11,8:bonus_object"
4,23,23,$049D48,,no,,,no,,,,"$1F3@13,1:bonus_object;$30C@15,2:weapon_or_hazard_emitter;$31C@9,3:weapon_or_hazard_emitter"
4,24,24,$04A9F0,,no,,,no,,,,"$1F5@10,1:directional_mover;$1F5@11,1:directional_mover;$1F5@12,1:directional_mover;$1F5@17,1:directional_mover;$1F0@18,2:directional_mover;$1F0@18,4:directional_mover;$1F0@18,5:directional_mover;$300@7,6:active_room_controller;$1F0@18,6:directional_mover;$232@3,7:static_instantiated_object"
4,25,25,$04AA18,,no,,,no,,"(1,4)->(8,4);(4,6)->(10,6);(7,8)->(13,8)",,
4,26,26,$04AA40,,no,,,no,,,,"$346@15,4:left_firing_emitter"
4,27,27,$04AA68,,no,,,no,,,,"$1FC@2,3:crp_mover;$1FC@3,3:crp_mover;$1FC@4,3:crp_mover;$1F5@6,3:directional_mover;$1F5@7,3:directional_mover;$1FF@12,3:crp_mover;$1FF@13,3:crp_mover;$1FF@14,3:crp_mover;$1FF@15,3:crp_mover;$1F4@3,9:directional_mover;$1F4@4,9:directional_mover;$1F4@9,9:directional_mover;$1F4@10,9:directional_mover"
4,28,28,$04AA90,,no,,,no,,,,"$31C@10,3:weapon_or_hazard_emitter;$346@14,5:left_firing_emitter"
4,29,29,$04AAB8,,no,,,no,,"(1,1)->(15,1);(6,5)->(15,5)",,"$1FC@2,1:crp_mover;$1FC@3,1:crp_mover;$1FC@4,1:crp_mover;$1FA@1,3:bonus_object;$1FC@2,3:crp_mover;$1FC@3,3:crp_mover;$1FC@4,3:crp_mover;$1F3@18,3:bonus_object;$1F2@1,5:bonus_object;$1F3@18,5:bonus_object"
4,30,30,$04AAE0,,no,,,no,"(0x130,0x88)->room 23 (0x50,0x78)",,,"$1F1@1,2:directional_mover;$1F1@1,3:directional_mover;$1F0@18,3:directional_mover;$200@5,5:random_bonus_or_object_generator;$200@11,5:random_bonus_or_object_generator;$1F0@18,5:directional_mover"
4,31,31,$04AB08,,no,,,no,,,,"$26B@1,1:animated_mechanism;$26B@2,1:animated_mechanism;$1FE@9,1:crp_mover;$1FE@10,1:crp_mover;$1FE@11,1:crp_mover;$25B@1,2:animated_mechanism;$25C@2,2:animated_mechanism;$25C@1,3:animated_mechanism;$25D@2,3:animated_mechanism;$25D@1,4:animated_mechanism;$25B@2,4:animated_mechanism;$1FC@12,4:crp_mover;$1FC@13,4:crp_mover;$1FC@14,4:crp_mover;$25D@1,5:animated_mechanism;$25C@2,5:animated_mechanism;$25E@1,6:animated_mechanism;$25E@2,6:animated_mechanism;$25E@1,7:animated_mechanism;$25D@2,7:animated_mechanism;$269@1,8:animated_mechanism;$269@2,8:animated_mechanism"
4,32,32,$04B7B0,,no,,,no,,"(9,4)->(12,4);(9,7)->(12,7)","(7,2)->(7,5);(14,6)->(14,9)","$1F2@4,2:bonus_object;$1F3@9,2:bonus_object;$1F3@10,2:bonus_object"
4,33,33,$04B7D8,,no,,,no,,,,"$1FC@13,1:crp_mover;$1FC@14,1:crp_mover;$1FE@15,1:crp_mover;$1FF@4,8:crp_mover;$1FD@7,8:crp_mover;$1FF@10,8:crp_mover;$1FF@13,8:crp_mover;$1FD@16,8:crp_mover"
4,34,34,$04B800,,no,,,no,,,,"$346@4,7:left_firing_emitter;$329@13,7:right_firing_emitter;$1F3@2,9:bonus_object;$1F3@3,9:bonus_object;$1F3@4,9:bonus_object"
4,35,35,$04B828,,no,,,no,,,,"$1F2@3,4:bonus_object;$1F2@6,4:bonus_object;$1F3@9,4:bonus_object;$1F3@12,4:bonus_object;$1F3@15,4:bonus_object;$09F@15,7:particle_or_hazard_emitter"
