level,logical_room_id,grid_x,grid_y,physical_background_id,first_row_runtime_addr,row_stride_bytes,is_level_start,start_marker_tile_2B_positions,left_open_rows,left_target,left_target_valid,left_opposite_edge_open,right_open_rows,right_target,right_target_valid,right_opposite_edge_open,up_open_cols,up_target,up_target_valid,up_opposite_edge_open,down_open_cols,down_target,down_target_valid,down_opposite_edge_open
2,18,2,2,9,$042390,$398,,,"2,3,4,5,6,7,8,9",17,yes,yes,"3,4,5,6,7,8",19,yes,yes,,,,,,,,
2,19,3,2,10,$0423B8,$398,,,"2,3,4,5,6,7,8",18,yes,yes,,,,,"8,9,10,11,12,13,14,15,16",11,yes,yes,,,,
2,20,4,2,17,$0424D0,$398,,,,,,,8,21,yes,yes,,,,,"3,4,5,6",28,yes,yes
2,21,5,2,16,$0424A8,$398,,,8,20,yes,yes,,,,,"3,4,5,6,7,8,9,10",13,yes,yes,,,,
2,24,0,3,22,$042598,$398,,,,,,,"2,3,4,5,6,7,8,9",25,yes,yes,,,,,,,,
2,25,1,3,21,$042570,$398,,,"3,4,5,6,7",24,yes,yes,"2,3,4,5,6,7,8",26,yes,yes,,,,,,,,
2,26,2,3,20,$042548,$398,,,"3,4,5,6,7",25,yes,yes,2,27,yes,yes,,,,,,,,
2,27,3,3,19,$042520,$398,,,2,26,yes,yes,8,28,yes,yes,,,,,,,,
2,28,4,3,18,$0424F8,$398,,,8,27,yes,yes,,,,,"3,4,5,6",20,yes,yes,,,,
3,0,0,0,1,$0449D8,$500,,,,,,,"1,2,3,4,5,6,7,8,9",1,yes,yes,,,,,"2,3,4,5,6",8,yes,yes
3,1,1,0,0,$0449B0,$500,yes,"16,6","1,2,3,4,5,6,7,8,9",0,yes,yes,,,,,,,,,,,,
3,2,2,0,11,$044B68,$500,,,,,,,"2,3,4,5,6,7",3,yes,yes,,,,,"2,3,4,6,7,8,9,10,11,12,13,14,16,17,18",10,yes,yes
3,3,3,0,12,$044B90,$500,,,"2,3,4,5,6,7",2,yes,yes,"2,3,4,5,6,7,8",4,yes,yes,,,,,,,,
3,4,4,0,13,$044BB8,$500,,,"1,2,3,4,5,7,8",3,yes,yes,"1,2,3,4,5,6,7,8,9",5,yes,yes,,,,,,,,
3,5,5,0,14,$044BE0,$500,,,"1,2,3,4,5,6,7,8,9",4,yes,yes,,,,,,,,,17,13,yes,yes
3,6,6,0,23,$044D48,$500,,,,,,,2,7,yes,yes,,,,,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",14,yes,yes
3,7,7,0,24,$044D70,$500,,,2,6,yes,yes,,,,,,,,,"6,7,8,9,10,11,12,13,14,15,16",15,yes,yes
3,8,0,1,2,$044A00,$500,,,,,,,"2,3,4,5,6,7,8",9,yes,yes,"2,3,4,5,6",0,yes,yes,,,,
3,9,1,1,3,$044A28,$500,,,"1,2,3,4,5,6,7,8,9",8,yes,yes,,,,,,,,,"4,5,6,7,8,9,10,11,12,13,14,15,16,17",17,yes,yes
3,10,2,1,10,$044B40,$500,,,,,,,,,,,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",2,yes,yes,"2,3,4,5,6,7,8,9,10,11,12,13",18,yes,yes
3,11,3,1,17,$044C58,$500,,,,,,,"2,3,4,5,6,7,8",12,yes,yes,,,,,"4,5,6,7,8,9,10,11,12",19,yes,yes
3,12,4,1,16,$044C30,$500,,,"2,3,4,5,6",11,yes,yes,"6,7",13,yes,yes,,,,,,,,
3,13,5,1,15,$044C08,$500,,,6,12,yes,yes,,,,,17,5,yes,yes,,,,
3,14,6,1,22,$044D20,$500,,,,,,,,,,,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",6,yes,yes,"12,13,14,15,16,17,18",22,yes,yes
3,15,7,1,25,$044D98,$500,,,,,,,,,,,"5,6,7,8,9,10,11,12,13,14,15,16,17",7,yes,yes,"6,7,8,9,10,11,12,13,14,15,16",23,yes,yes
3,16,0,2,5,$044A78,$500,,,,,,,"6,7,8",17,yes,no,,,,,"3,4,5,6,7,8",24,yes,yes
3,17,1,2,4,$044A50,$500,,,,,,,,,,,"4,5,6,7,8,9,10,11,12,13,14,15,16,17",9,yes,yes,,,,
3,18,2,2,9,$044B18,$500,,,,,,,,,,,"2,4,5,6,7,8,9,10,12,13",10,yes,yes,"11,12,13",26,yes,yes
3,19,3,2,18,$044C80,$500,,,,,,,"5,6,7,8",20,yes,yes,"3,4,5,6,7,8,9,10,11,12,13",11,yes,yes,,,,
3,20,4,2,19,$044CA8,$500,,,"5,6,7,8",19,yes,yes,"2,4,5,6,8",21,yes,yes,,,,,,,,
3,21,5,2,20,$044CD0,$500,,,"2,3,4,5,6,7,8",20,yes,yes,"2,4,5,6,8",22,yes,yes,,,,,12,29,yes,no
3,22,6,2,21,$044CF8,$500,,,"2,3,4,5,6,7,8",21,yes,yes,,,,,"12,14,15,16,18",14,yes,yes,,,,
3,23,7,2,26,$044DC0,$500,,,,,,,,,,,"5,6,7,8,9,10,11,12,13,14,15,16,17",15,yes,yes,"6,7,8,9,10,11,12,13,14,15,16",31,yes,yes
3,24,0,3,6,$044AA0,$500,,,,,,,"3,4,5,6,7",25,yes,yes,"3,4,5,6,7,8,9",16,yes,yes,,,,
3,25,1,3,7,$044AC8,$500,,,"2,3,4,5,6,7,8",24,yes,yes,"3,4,5,6",26,yes,yes,,,,,,,,
3,26,2,3,8,$044AF0,$500,,,"2,3,4,5,6,7",25,yes,yes,,,,,"11,12,13",18,yes,yes,,,,
3,27,3,3,31,$044E88,$500,,,,,,,"2,3,4,5,6",28,yes,yes,,,,,,,,
3,28,4,3,30,$044E60,$500,,,"2,3,4,5,6",27,yes,yes,"2,3,4,5,6,7,8",29,yes,yes,,,,,,,,
3,29,5,3,29,$044E38,$500,,,"3,4,5,6,7",28,yes,yes,"2,3,4,5,6,7,8",30,yes,yes,,,,,,,,
3,30,6,3,28,$044E10,$500,,,"2,3,4,5,6",29,yes,yes,"6,7",31,yes,yes,,,,,1,38,no,
3,31,7,3,27,$044DE8,$500,,,6,30,yes,yes,,,,,"5,6,7,8,9,10,11,12,13,14,15,16,17",23,yes,yes,,,,
4,0,0,0,0,$0480B0,$140,,,,,,,"1,2",1,yes,yes,,,,,"6,7,8,9,10",8,yes,yes
4,1,1,0,1,$0480D8,$140,,,"1,2",0,yes,yes,,,,,,,,,"13,14,15",9,yes,yes
4,2,2,0,2,$048100,$140,,,,,,,"1,2,3,4,5",3,yes,yes,,,,,"17,18",10,yes,yes
4,3,3,0,3,$048128,$140,,,"1,2,3,4,5",2,yes,yes,"1,2,3",4,yes,no,,,,,"1,2",11,yes,yes
4,4,4,0,4,$048150,$140,,,,,,,"5,6",5,yes,yes,,,,,10,12,yes,yes
4,5,5,0,5,$048178,$140,,,"5,6",4,yes,yes,"2,5,8",6,yes,yes,,,,,,,,
4,6,6,0,6,$0481A0,$140,,,"2,5,8",5,yes,yes,"1,2,3,4,5,6,7,8,9",7,yes,yes,,,,,,,,
4,7,7,0,7,$0481C8,$140,,,"1,2,3,4,5,6,7,8,9",6,yes,yes,,,,,,,,,12,15,yes,yes
4,8,0,1,8,$048E70,$140,,,,,,,"8,9",9,yes,yes,"6,7,8,9,10",0,yes,yes,"10,11,12",16,yes,yes
4,9,1,1,9,$048E98,$140,yes,"16,3","8,9",8,yes,yes,,,,,"13,14,15",1,yes,yes,,,,
4,10,2,1,10,$048EC0,$140,,,,,,,,,,,"17,18",2,yes,yes,,,,
4,11,3,1,11,$048EE8,$140,,,,,,,,,,,"1,2",3,yes,yes,"4,5,6,7,17,18",19,yes,yes
4,12,4,1,12,$048F10,$140,,,,,,,"2,3",13,yes,yes,10,4,yes,yes,"1,2,3,4,5,6,7,15,16,17",20,yes,yes
4,13,5,1,13,$048F38,$140,,,"2,3",12,yes,yes,,,,,,,,,"9,10",21,yes,yes
4,14,6,1,14,$048F60,$140,,,,,,,"2,4,5,6,7,8,9",15,yes,yes,,,,,"6,7,8",22,yes,yes
4,15,7,1,15,$048F88,$140,,,"2,3,4,5,6,7,8,9",14,yes,yes,"1,2,3,4,5,6,7,8,9",16,yes,no,12,7,yes,yes,,,,
4,16,0,2,16,$049C30,$140,,,,,,,,,,,"10,11,12",8,yes,yes,"3,4,5,6,7",24,yes,yes
4,17,1,2,17,$049C58,$140,,,,,,,"1,2",18,yes,yes,,,,,"1,2",25,yes,yes
4,18,2,2,18,$049C80,$140,,,"1,2",17,yes,yes,"1,2",19,yes,yes,,,,,,,,
4,19,3,2,19,$049CA8,$140,,,"1,2",18,yes,yes,,,,,"17,18",11,yes,yes,,,,
4,20,4,2,20,$049CD0,$140,,,,,,,,,,,"1,2,3,4,5,6,7,15,16,17",12,yes,yes,"5,6,15,16",28,yes,yes
4,21,5,2,21,$049CF8,$140,,,,,,,,,,,"9,10",13,yes,yes,"7,8,9,16,17,18",29,yes,yes
4,22,6,2,22,$049D20,$140,,,,,,,,,,,"6,7,8",14,yes,yes,"7,8,9",30,yes,yes
4,23,7,2,23,$049D48,$140,,,,,,,,,,,,,,,"16,17",31,yes,yes
4,24,0,3,24,$04A9F0,$140,,,,,,,9,25,yes,yes,"2,3,4,5,6,7,8",16,yes,yes,,,,
4,25,1,3,25,$04AA18,$140,,,9,24,yes,yes,,,,,"1,2",17,yes,yes,,,,
4,26,2,3,26,$04AA40,$140,,,,,,,1,27,yes,yes,,,,,1,34,yes,yes
4,27,3,3,27,$04AA68,$140,,,1,26,yes,yes,,,,,,,,,"11,12,13,14,15,16,17,18",35,yes,yes
4,28,4,3,28,$04AA90,$140,,,,,,,,,,,"5,6,15,16",20,yes,yes,,,,
4,29,5,3,29,$04AAB8,$140,,,,,,,,,,,"7,8,9,16,17,18",21,yes,yes,18,37,yes,yes
4,30,6,3,30,$04AAE0,$140,,,,,,,,,,,"7,8,9",22,yes,yes,,,,
4,31,7,3,31,$04AB08,$140,,,,,,,,,,,"16,17",23,yes,yes,,,,
4,32,0,4,32,$04B7B0,$140,,,,,,,"1,2",33,yes,yes,,,,,"2,3",40,yes,yes
4,33,1,4,33,$04B7D8,$140,,,"1,2",32,yes,yes,,,,,,,,,"13,14",41,yes,yes
4,34,2,4,34,$04B800,$140,,,,,,,"8,9",35,yes,yes,1,26,yes,yes,,,,
4,35,3,4,35,$04B828,$140,,,"8,9",34,yes,yes,"6,7",36,yes,yes,"9,11,12,13,14,15,16,17,18",27,yes,yes,,,,
4,36,4,4,36,$04B850,$140,,,"6,7",35,yes,yes,"1,2",37,yes,yes,,,,,,,,
4,37,5,4,37,$04B878,$140,,,"1,2",36,yes,yes,,,,,18,29,yes,yes,,,,
4,38,6,4,38,$04B8A0,$140,,,,,,,"1,2,3,4,5,6",39,yes,yes,,,,,"8,9",46,yes,yes
4,39,7,4,39,$04B8C8,$140,,,"1,2,3,4",38,yes,yes,,,,,"13,14,15,16,17",31,yes,no,,,,
4,40,0,5,40,$04C570,$140,,,,,,,,,,,"2,3",32,yes,yes,"1,3,4,5",48,yes,yes
4,41,1,5,41,$04C598,$140,,,,,,,,,,,"13,14",33,yes,yes,,,,
4,42,2,5,42,$04C5C0,$140,,,,,,,"3,4",43,yes,yes,,,,,"3,4",50,yes,no
4,43,3,5,43,$04C5E8,$140,,,"3,4",42,yes,yes,,,,,,,,,"7,8,9,10,11",51,yes,yes
4,44,4,5,44,$04C610,$140,,,,,,,"1,2,3,4,5,6,7,8,9",45,yes,yes,,,,,,,,
4,45,5,5,45,$04C638,$140,,,"1,2,3,4,5,6,7,8,9",44,yes,yes,1,46,yes,yes,,,,,,,,
4,46,6,5,46,$04C660,$140,,,1,45,yes,yes,"1,2",47,yes,yes,"8,9",38,yes,yes,"1,2",54,yes,yes
4,47,7,5,47,$04C688,$140,,,"1,2",46,yes,yes,9,48,yes,no,,,,,"2,3,6,7,8,9,10,11,12,13,14,17,18",55,yes,yes
4,48,0,6,48,$04D330,$140,,,,,,,,,,,"2,3,4,5,6",40,yes,yes,,,,
4,49,1,6,49,$04D358,$140,,,,,,,,,,,"1,2",41,yes,no,,,,
4,50,2,6,50,$04D380,$140,,,,,,,5,51,yes,yes,,,,,"3,4",58,yes,yes
4,51,3,6,51,$04D3A8,$140,,,5,50,yes,yes,,,,,"6,7,8,9,10,11,12",43,yes,yes,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",59,yes,no
4,52,4,6,52,$04D3D0,$140,,,,,,,"1,2,3,4,5",53,yes,yes,,,,,8,60,yes,yes
4,53,5,6,53,$04D3F8,$140,,,"2,3,4",52,yes,yes,"1,2,3",54,yes,yes,,,,,,,,
4,54,6,6,54,$04D420,$140,,,"1,2,3",53,yes,yes,,,,,"1,2",46,yes,yes,,,,
4,55,7,6,55,$04D448,$140,,,,,,,,,,,"2,3,17,18",47,yes,yes,"2,3,4,13,14,15,16,17,18",63,yes,yes
4,56,0,7,56,$04E0F0,$140,,,,,,,,,,,,,,,9,64,yes,yes
4,57,1,7,57,$04E118,$140,,,,,,,"1,2,3,4",58,yes,yes,,,,,,,,
4,58,2,7,58,$04E140,$140,,,"1,2,3,4",57,yes,yes,"1,2,3,4,5,6,7,8,9",59,yes,yes,"3,4",50,yes,yes,"2,3,4,5,6,7,8,9,18",66,yes,yes
4,59,3,7,59,$04E168,$140,,,"2,3,4,5,6,7,8",58,yes,yes,,,,,,,,,"1,9",67,yes,yes
4,60,4,7,60,$04E190,$140,,,,,,,,,,,8,52,yes,yes,8,68,yes,yes
4,61,5,7,61,$04E1B8,$140,,,,,,,,,,,,,,,"1,2,17,18",69,yes,yes
4,62,6,7,62,$04E1E0,$140,,,,,,,,,,,,,,,,,,
4,63,7,7,63,$04E208,$140,,,,,,,,,,,"2,3,4,13,14,15,16,17,18",55,yes,yes,"2,3,4",71,yes,yes
4,64,0,8,64,$04EEB0,$140,,,,,,,,,,,9,56,yes,yes,9,72,yes,yes
4,65,1,8,65,$04EED8,$140,,,,,,,,,,,,,,,6,73,yes,yes
4,66,2,8,66,$04EF00,$140,,,,,,,"1,8",67,yes,yes,"2,3,5,6,7,8,9,10,18",58,yes,yes,,,,
4,67,3,8,67,$04EF28,$140,,,"1,8",66,yes,yes,9,68,yes,yes,"1,9",59,yes,yes,,,,
4,68,4,8,68,$04EF50,$140,,,9,67,yes,yes,,,,,8,60,yes,yes,,,,
4,69,5,8,69,$04EF78,$140,,,,,,,,,,,"1,2,17,18",61,yes,yes,"1,14,15,16",77,yes,yes
4,70,6,8,70,$04EFA0,$140,,,,,,,"1,2,3,4,5,6,7,8,9",71,yes,yes,,,,,"2,3,4,5,6,7,8,9,10,11,12,13",78,yes,yes
4,71,7,8,71,$04EFC8,$140,,,"1,2,3,4,5,7,8",70,yes,yes,,,,,"2,3,4",63,yes,yes,,,,
4,72,0,9,72,$04FC70,$140,,,,,,,5,73,yes,yes,9,64,yes,yes,,,,
4,73,1,9,73,$04FC98,$140,,,5,72,yes,yes,5,74,yes,yes,"6,7",65,yes,yes,,,,
4,74,2,9,74,$04FCC0,$140,,,5,73,yes,yes,"1,9",75,yes,yes,,,,,,,,
4,75,3,9,75,$04FCE8,$140,,,"1,9",74,yes,yes,5,76,yes,yes,,,,,,,,
4,76,4,9,76,$04FD10,$140,,,5,75,yes,yes,,,,,,,,,,,,
4,77,5,9,77,$04FD38,$140,,,5,76,yes,no,,,,,"1,14,15,16",69,yes,yes,"6,7,8,9,10,11,12",85,no,
4,78,6,9,78,$04FD60,$140,,,,,,,9,79,yes,yes,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",70,yes,yes,,,,
4,79,7,9,79,$04FD88,$140,,,9,78,yes,yes,,,,,,,,,,,,
