tile_id,impact_dispatch_runtime,removal_family,map_occurrences,rooms_containing_tile
$300,$01A316,multi-cell/active-structure removal via $1A7F2 family,34,L1R1; L1R12; L1R16; L1R18; L2R13; L2R18; L3R0; L3R10; L3R20; L3R22; L3R29; L4R4; L4R9; L4R12; L4R22; L4R24; L4R39; L4R40; L4R46; L4R54; L4R55; L4R57; L4R60; L4R66; L4R71; L4R77; L4R78
$066,$01A316,multi-cell/active-structure removal via $1A7F2 family,34,L1R1; L1R12; L1R16; L1R18; L2R13; L2R18; L3R0; L3R10; L3R20; L3R22; L3R29; L4R4; L4R9; L4R12; L4R22; L4R24; L4R39; L4R40; L4R46; L4R54; L4R55; L4R57; L4R60; L4R66; L4R71; L4R77; L4R78
$062,$01A316,multi-cell/active-structure removal via $1A7F2 family,34,L1R1; L1R12; L1R16; L1R18; L2R13; L2R18; L3R0; L3R10; L3R20; L3R22; L3R29; L4R4; L4R9; L4R12; L4R22; L4R24; L4R39; L4R40; L4R46; L4R54; L4R55; L4R57; L4R60; L4R66; L4R71; L4R77; L4R78
$064,$01A316,multi-cell/active-structure removal via $1A7F2 family,34,L1R1; L1R12; L1R16; L1R18; L2R13; L2R18; L3R0; L3R10; L3R20; L3R22; L3R29; L4R4; L4R9; L4R12; L4R22; L4R24; L4R39; L4R40; L4R46; L4R54; L4R55; L4R57; L4R60; L4R66; L4R71; L4R77; L4R78
$063,$01A316,multi-cell/active-structure removal via $1A7F2 family,34,L1R1; L1R12; L1R16; L1R18; L2R13; L2R18; L3R0; L3R10; L3R20; L3R22; L3R29; L4R4; L4R9; L4R12; L4R22; L4R24; L4R39; L4R40; L4R46; L4R54; L4R55; L4R57; L4R60; L4R66; L4R71; L4R77; L4R78
$065,$01A316,multi-cell/active-structure removal via $1A7F2 family,34,L1R1; L1R12; L1R16; L1R18; L2R13; L2R18; L3R0; L3R10; L3R20; L3R22; L3R29; L4R4; L4R9; L4R12; L4R22; L4R24; L4R39; L4R40; L4R46; L4R54; L4R55; L4R57; L4R60; L4R66; L4R71; L4R77; L4R78
$05C,$01A316,multi-cell/active-structure removal via $1A7F2 family,34,L1R1; L1R12; L1R16; L1R18; L2R13; L2R18; L3R0; L3R10; L3R20; L3R22; L3R29; L4R4; L4R9; L4R12; L4R22; L4R24; L4R39; L4R40; L4R46; L4R54; L4R55; L4R57; L4R60; L4R66; L4R71; L4R77; L4R78
$05D,$01A316,multi-cell/active-structure removal via $1A7F2 family,34,L1R1; L1R12; L1R16; L1R18; L2R13; L2R18; L3R0; L3R10; L3R20; L3R22; L3R29; L4R4; L4R9; L4R12; L4R22; L4R24; L4R39; L4R40; L4R46; L4R54; L4R55; L4R57; L4R60; L4R66; L4R71; L4R77; L4R78
$05E,$01A316,multi-cell/active-structure removal via $1A7F2 family,34,L1R1; L1R12; L1R16; L1R18; L2R13; L2R18; L3R0; L3R10; L3R20; L3R22; L3R29; L4R4; L4R9; L4R12; L4R22; L4R24; L4R39; L4R40; L4R46; L4R54; L4R55; L4R57; L4R60; L4R66; L4R71; L4R77; L4R78
$05F,$01A316,multi-cell/active-structure removal via $1A7F2 family,33,L1R1; L1R12; L1R16; L2R13; L2R18; L3R0; L3R10; L3R20; L3R22; L3R29; L4R4; L4R9; L4R12; L4R22; L4R24; L4R39; L4R40; L4R46; L4R54; L4R55; L4R57; L4R60; L4R66; L4R71; L4R77; L4R78
$242,$01A316,2x2-ish structure removal via $185FE family,12,L1R1; L2R1; L2R16; L2R17; L2R21; L3R8; L3R18; L3R23; L3R28; L4R11; L4R21; L4R37
$243,$01A316,2x2-ish structure removal via $185FE family,12,L1R1; L2R1; L2R16; L2R17; L2R21; L3R8; L3R18; L3R23; L3R28; L4R11; L4R21; L4R37
$244,$01A316,2x2-ish structure removal via $185FE family,12,L1R1; L2R1; L2R16; L2R17; L2R21; L3R8; L3R18; L3R23; L3R28; L4R11; L4R21; L4R37
$245,$01A316,2x2-ish structure removal via $185FE family,12,L1R1; L2R1; L2R16; L2R17; L2R21; L3R8; L3R18; L3R23; L3R28; L4R11; L4R21; L4R37
$232,$01A316,multi-row structure removal via $191BC family,25,L2R1; L2R3; L2R9; L2R16; L2R18; L2R21; L2R26; L2R28; L3R13; L3R18; L3R20; L3R23; L3R24; L3R28; L4R6; L4R11; L4R15; L4R21; L4R24; L4R37; L4R38; L4R41; L4R43
$233,$01A316,multi-row structure removal via $191BC family,25,L2R1; L2R3; L2R9; L2R16; L2R18; L2R21; L2R26; L2R28; L3R13; L3R18; L3R20; L3R23; L3R24; L3R28; L4R6; L4R11; L4R15; L4R21; L4R24; L4R37; L4R38; L4R41; L4R43
$234,$01A316,multi-row structure removal via $191BC family,25,L2R1; L2R3; L2R9; L2R16; L2R18; L2R21; L2R26; L2R28; L3R13; L3R18; L3R20; L3R23; L3R24; L3R28; L4R6; L4R11; L4R15; L4R21; L4R24; L4R37; L4R38; L4R41; L4R43
$235,$01A316,multi-row structure removal via $191BC family,25,L2R1; L2R3; L2R9; L2R16; L2R18; L2R21; L2R26; L2R28; L3R13; L3R18; L3R20; L3R23; L3R24; L3R28; L4R6; L4R11; L4R15; L4R21; L4R24; L4R37; L4R38; L4R41; L4R43
$236,$01A316,multi-row structure removal via $191BC family,25,L2R1; L2R3; L2R9; L2R16; L2R18; L2R21; L2R26; L2R28; L3R13; L3R18; L3R20; L3R23; L3R24; L3R28; L4R6; L4R11; L4R15; L4R21; L4R24; L4R37; L4R38; L4R41; L4R43
$237,$01A316,multi-row structure removal via $191BC family,25,L2R1; L2R3; L2R9; L2R16; L2R18; L2R21; L2R26; L2R28; L3R13; L3R18; L3R20; L3R23; L3R24; L3R28; L4R6; L4R11; L4R15; L4R21; L4R24; L4R37; L4R38; L4R41; L4R43
