tile_id,class_l1_l3,class_l4,collision_l1_l3,collision_l4,passable_table,destructible,special,notes
$0B5,solid,solid,solid,solid,no,no,no,
$0B6,solid,solid,solid,solid,no,no,no,
$0B7,solid,solid,solid,solid,no,no,no,
$0B8,solid,solid,solid,solid,no,no,no,
$0B9,solid,solid,solid,solid,no,no,no,
$0BA,solid,solid,solid,solid,no,no,no,
$0BB,solid,solid,solid,solid,no,no,no,
$0BC,solid,solid,solid,solid,no,no,no,
$0BD,solid,solid,solid,solid,no,no,no,
$0BE,solid,solid,solid,solid,no,no,no,
$0BF,solid,solid,solid,solid,no,no,no,
$0C0,solid,solid,solid,solid,no,no,no,
$0C1,solid,solid,solid,solid,no,no,no,
$0C2,solid,solid,solid,solid,no,no,no,
$0C3,solid,solid,solid,solid,no,no,no,
$0C4,solid,solid,solid,solid,no,no,no,
$0C5,solid,solid,solid,solid,no,no,no,
$0C6,solid,solid,solid,solid,no,no,no,
$0C7,solid,solid,solid,solid,no,no,no,
$0C8,solid,solid,solid,solid,no,no,no,
$0C9,solid,solid,solid,solid,no,no,no,
$0CA,solid,solid,solid,solid,no,no,no,
$0CB,solid,solid,solid,solid,no,no,no,
$0CC,solid,solid,solid,solid,no,no,no,
$0CD,solid,solid,solid,solid,no,no,no,
$0CE,solid,solid,solid,solid,no,no,no,
$0CF,solid,solid,solid,solid,no,no,no,
$0D0,solid,solid,solid,solid,no,no,no,
$0D1,solid,solid,solid,solid,no,no,no,
$0D2,solid,solid,solid,solid,no,no,no,
$0D3,solid,solid,solid,solid,no,no,no,
$0D4,solid,solid,solid,solid,no,no,no,
$0D5,solid,solid,solid,solid,no,no,no,
$0D6,solid,solid,solid,solid,no,no,no,
$0D7,solid,solid,solid,solid,no,no,no,
$0D8,solid,solid,solid,solid,no,no,no,
$0D9,solid,solid,solid,solid,no,no,no,
$0DA,solid,solid,solid,solid,no,no,no,
$0DB,solid,solid,solid,solid,no,no,no,
$0DC,solid,solid,solid,solid,no,no,no,
$0DD,solid,solid,solid,solid,no,no,no,
$0DE,solid,solid,solid,solid,no,no,no,
$0DF,solid,solid,solid,solid,no,no,no,
$0E0,solid,solid,solid,solid,no,no,no,
$0E1,solid,solid,solid,solid,no,no,no,
$0E2,solid,solid,solid,solid,no,no,no,
$0E3,solid,solid,solid,solid,no,no,no,
$0E4,solid,solid,solid,solid,no,no,no,
$0E5,solid,solid,solid,solid,no,no,no,
$0E6,solid,solid,solid,solid,no,no,no,
$0E7,solid,solid,solid,solid,no,no,no,
$0E8,solid,solid,solid,solid,no,no,no,
$0E9,solid,solid,solid,solid,no,no,no,
$0EA,solid,solid,solid,solid,no,no,no,
$0EB,solid,solid,solid,solid,no,no,no,
$0EC,solid,solid,solid,solid,no,no,no,
$0ED,destructible,destructible,solid,solid,no,yes,no,
$0EE,solid,solid,solid,solid,no,no,no,
$0EF,solid,solid,solid,solid,no,no,no,
$0F0,solid,solid,solid,solid,no,no,no,
$0F1,solid,solid,solid,solid,no,no,no,
$0F2,solid,solid,solid,solid,no,no,no,
$0F3,solid,solid,solid,solid,no,no,no,
$0F4,solid,solid,solid,solid,no,no,no,
$0F5,solid,solid,solid,solid,no,no,no,
$0F6,solid,solid,solid,solid,no,no,no,
$0F7,solid,solid,solid,solid,no,no,no,
$0F8,solid,solid,solid,solid,no,no,no,
$0F9,solid,solid,solid,solid,no,no,no,
$0FA,solid,solid,solid,solid,no,no,no,
$0FB,solid,solid,solid,solid,no,no,no,
$0FC,solid,solid,solid,solid,no,no,no,
$0FD,solid,solid,solid,solid,no,no,no,
$0FE,solid,solid,solid,solid,no,no,no,
$0FF,solid,solid,solid,solid,no,no,no,
$100,solid,solid,solid,solid,no,no,no,
$101,solid,solid,solid,solid,no,no,no,
$102,solid,solid,solid,solid,no,no,no,
$103,solid,solid,solid,solid,no,no,no,
$104,solid,solid,solid,solid,no,no,no,
$105,solid,solid,solid,solid,no,no,no,
$106,solid,solid,solid,solid,no,no,no,
$107,solid,solid,solid,solid,no,no,no,
$108,solid,solid,solid,solid,no,no,no,
$109,solid,solid,solid,solid,no,no,no,
$10A,solid,solid,solid,solid,no,no,no,
$10B,solid,solid,solid,solid,no,no,no,
$10C,solid,solid,solid,solid,no,no,no,
$10D,solid,solid,solid,solid,no,no,no,
$10E,solid,solid,solid,solid,no,no,no,
$10F,solid,solid,solid,solid,no,no,no,
$110,solid,solid,solid,solid,no,no,no,
$111,solid,solid,solid,solid,no,no,no,
$112,solid,solid,solid,solid,no,no,no,
$113,solid,solid,solid,solid,no,no,no,
$114,solid,solid,solid,solid,no,no,no,
$115,solid,solid,solid,solid,no,no,no,
$116,destructible,destructible,passable,passable,yes,yes,no,
$117,destructible,destructible,solid,solid,no,yes,no,
$118,destructible,destructible,solid,solid,no,yes,no,
$119,destructible,destructible,passable,passable,yes,yes,no,
$11A,destructible,destructible,passable,passable,yes,yes,no,
$11B,solid,solid,solid,solid,no,no,no,
$11C,solid,solid,solid,solid,no,no,no,
$11D,destructible,destructible,passable,passable,yes,yes,no,
$11E,destructible,destructible,passable,passable,yes,yes,no,
$11F,solid,solid,solid,solid,no,no,no,
$120,solid,solid,solid,solid,no,no,no,
$121,solid,solid,solid,solid,no,no,no,
$122,solid,solid,solid,solid,no,no,no,
$123,solid,solid,solid,solid,no,no,no,
$124,solid,solid,solid,solid,no,no,no,
$125,solid,solid,solid,solid,no,no,no,
$126,solid,solid,solid,solid,no,no,no,
$127,solid,solid,solid,solid,no,no,no,
$128,solid,solid,solid,solid,no,no,no,
$129,solid,solid,solid,solid,no,no,no,
$12A,solid,solid,solid,solid,no,no,no,
$12B,solid,solid,solid,solid,no,no,no,
$12C,solid,solid,solid,solid,no,no,no,
$12D,solid,solid,solid,solid,no,no,no,
$12E,solid,solid,solid,solid,no,no,no,
$12F,solid,solid,solid,solid,no,no,no,
$130,solid,solid,solid,solid,no,no,no,
$131,solid,solid,solid,solid,no,no,no,
$132,solid,solid,solid,solid,no,no,no,
$133,solid,solid,solid,solid,no,no,no,
$134,solid,solid,solid,solid,no,no,no,
$135,solid,solid,solid,solid,no,no,no,
$136,solid,solid,solid,solid,no,no,no,
$137,solid,solid,solid,solid,no,no,no,
$138,solid,solid,solid,solid,no,no,no,
$139,solid,solid,solid,solid,no,no,no,
$13A,solid,solid,solid,solid,no,no,no,
$13B,solid,solid,solid,solid,no,no,no,
$13C,solid,solid,solid,solid,no,no,no,
$13D,solid,solid,solid,solid,no,no,no,
$13E,solid,solid,solid,solid,no,no,no,
$13F,solid,solid,solid,solid,no,no,no,
$140,solid,solid,solid,solid,no,no,no,
$141,solid,solid,solid,solid,no,no,no,
$142,solid,solid,solid,solid,no,no,no,
$143,passable,passable,passable,passable,yes,no,no,
$144,solid,solid,solid,solid,no,no,no,
$145,solid,solid,solid,solid,no,no,no,
$146,solid,solid,solid,solid,no,no,no,
$147,solid,solid,solid,solid,no,no,no,
$148,solid,solid,solid,solid,no,no,no,
$149,solid,solid,solid,solid,no,no,no,
$14A,solid,solid,solid,solid,no,no,no,
$14B,solid,solid,solid,solid,no,no,no,
$14C,solid,solid,solid,solid,no,no,no,
$14D,solid,solid,solid,solid,no,no,no,
$14E,solid,solid,solid,solid,no,no,no,
$14F,solid,solid,solid,solid,no,no,no,
$150,solid,solid,solid,solid,no,no,no,
$151,solid,solid,solid,solid,no,no,no,
$152,solid,solid,solid,solid,no,no,no,
$153,solid,solid,solid,solid,no,no,no,
$154,solid,solid,solid,solid,no,no,no,
$155,solid,solid,solid,solid,no,no,no,
$156,solid,solid,solid,solid,no,no,no,
$157,solid,solid,solid,solid,no,no,no,
$158,solid,solid,solid,solid,no,no,no,
$159,solid,solid,solid,solid,no,no,no,
$15A,solid,solid,solid,solid,no,no,no,
$15B,solid,solid,solid,solid,no,no,no,
$15C,solid,solid,solid,solid,no,no,no,
$15D,solid,solid,solid,solid,no,no,no,
$15E,solid,solid,solid,solid,no,no,no,
$15F,solid,solid,solid,solid,no,no,no,
$160,solid,solid,solid,solid,no,no,no,
$161,solid,solid,solid,solid,no,no,no,
$162,solid,solid,solid,solid,no,no,no,
$163,solid,solid,solid,solid,no,no,no,
$164,solid,solid,solid,solid,no,no,no,
$165,solid,solid,solid,solid,no,no,no,
$166,solid,solid,solid,solid,no,no,no,
$167,solid,solid,solid,solid,no,no,no,
$168,solid,solid,solid,solid,no,no,no,
$169,solid,solid,solid,solid,no,no,no,
$16A,solid,solid,solid,solid,no,no,no,
$16B,solid,solid,solid,solid,no,no,no,
$16C,solid,solid,solid,solid,no,no,no,
$16D,solid,solid,solid,solid,no,no,no,
$16E,solid,solid,solid,solid,no,no,no,
$16F,solid,solid,solid,solid,no,no,no,
$170,solid,solid,solid,solid,no,no,no,
$171,solid,solid,solid,solid,no,no,no,
$172,solid,solid,solid,solid,no,no,no,
$173,solid,solid,solid,solid,no,no,no,
$174,solid,solid,solid,solid,no,no,no,
$175,solid,solid,solid,solid,no,no,no,
$176,solid,solid,solid,solid,no,no,no,
$177,solid,solid,solid,solid,no,no,no,
$178,solid,solid,solid,solid,no,no,no,
$179,solid,solid,solid,solid,no,no,no,
$17A,solid,solid,solid,solid,no,no,no,
$17B,solid,solid,solid,solid,no,no,no,
$17C,solid,solid,solid,solid,no,no,no,
$17D,solid,solid,solid,solid,no,no,no,
$17E,solid,solid,solid,solid,no,no,no,
$17F,solid,solid,solid,solid,no,no,no,
$180,solid,solid,solid,solid,no,no,no,
$181,solid,solid,solid,solid,no,no,no,
$182,solid,solid,solid,solid,no,no,no,
$183,solid,solid,solid,solid,no,no,no,
$184,solid,solid,solid,solid,no,no,no,
$185,solid,solid,solid,solid,no,no,no,
$186,solid,solid,solid,solid,no,no,no,
$187,solid,solid,solid,solid,no,no,no,
$188,solid,solid,solid,solid,no,no,no,
$189,solid,solid,solid,solid,no,no,no,
$18A,solid,solid,solid,solid,no,no,no,
$18B,solid,solid,solid,solid,no,no,no,
$18C,solid,solid,solid,solid,no,no,no,
$18D,solid,solid,solid,solid,no,no,no,
$18E,solid,solid,solid,solid,no,no,no,
$18F,solid,solid,solid,solid,no,no,no,
$190,solid,solid,solid,solid,no,no,no,
$191,solid,solid,solid,solid,no,no,no,
$192,solid,solid,solid,solid,no,no,no,
$193,solid,solid,solid,solid,no,no,no,
$194,solid,solid,solid,solid,no,no,no,
$195,solid,solid,solid,solid,no,no,no,
$196,solid,solid,solid,solid,no,no,no,
$197,solid,solid,solid,solid,no,no,no,
$198,solid,solid,solid,solid,no,no,no,
$199,solid,solid,solid,solid,no,no,no,
$19A,solid,solid,solid,solid,no,no,no,
$19B,solid,solid,solid,solid,no,no,no,
$19C,solid,solid,solid,solid,no,no,no,
$19D,solid,solid,solid,solid,no,no,no,
$19E,solid,solid,solid,solid,no,no,no,
$19F,solid,solid,solid,solid,no,no,no,
$1A0,solid,solid,solid,solid,no,no,no,
$1A1,solid,solid,solid,solid,no,no,no,
$1A2,solid,solid,solid,solid,no,no,no,
$1A3,solid,solid,solid,solid,no,no,no,
$1A4,solid,solid,solid,solid,no,no,no,
$1A5,solid,solid,solid,solid,no,no,no,
$1A6,solid,solid,solid,solid,no,no,no,
$1A7,solid,solid,solid,solid,no,no,no,
$1A8,solid,solid,solid,solid,no,no,no,
$1A9,solid,solid,solid,solid,no,no,no,
$1AA,solid,solid,solid,solid,no,no,no,
$1AB,solid,solid,solid,solid,no,no,no,
$1AC,solid,solid,solid,solid,no,no,no,
$1AD,solid,solid,solid,solid,no,no,no,
$1AE,solid,solid,solid,solid,no,no,no,
$1AF,solid,solid,solid,solid,no,no,no,
$1B0,solid,solid,solid,solid,no,no,no,
$1B1,solid,solid,solid,solid,no,no,no,
$1B2,solid,solid,solid,solid,no,no,no,
$1B3,solid,solid,solid,solid,no,no,no,
$1B4,solid,solid,solid,solid,no,no,no,
$1B5,solid,solid,solid,solid,no,no,no,
$1B6,solid,solid,solid,solid,no,no,no,
$1B7,solid,solid,solid,solid,no,no,no,
$1B8,solid,solid,solid,solid,no,no,no,
$1B9,solid,solid,solid,solid,no,no,no,
$1BA,solid,solid,solid,solid,no,no,no,
$1BB,solid,solid,solid,solid,no,no,no,
$1BC,solid,solid,solid,solid,no,no,no,
$1BD,solid,solid,solid,solid,no,no,no,
$1BE,solid,solid,solid,solid,no,no,no,
$1BF,solid,solid,solid,solid,no,no,no,
$1C0,solid,solid,solid,solid,no,no,no,
$1C1,solid,solid,solid,solid,no,no,no,
$1C2,solid,solid,solid,solid,no,no,no,
$1C3,solid,solid,solid,solid,no,no,no,
$1C4,solid,solid,solid,solid,no,no,no,
$1C5,solid,solid,solid,solid,no,no,no,
$1C6,solid,solid,solid,solid,no,no,no,
$1C7,solid,solid,solid,solid,no,no,no,
$1C8,solid,solid,solid,solid,no,no,no,
$1C9,solid,solid,solid,solid,no,no,no,
$1CA,solid,solid,solid,solid,no,no,no,
$1CB,solid,solid,solid,solid,no,no,no,
$1CC,solid,solid,solid,solid,no,no,no,
$1CD,solid,solid,solid,solid,no,no,no,
$1CE,solid,solid,solid,solid,no,no,no,
$1CF,solid,solid,solid,solid,no,no,no,
$1D0,solid,solid,solid,solid,no,no,no,
$1D1,solid,solid,solid,solid,no,no,no,
$1D2,solid,solid,solid,solid,no,no,no,
$1D3,solid,solid,solid,solid,no,no,no,
$1D4,solid,solid,solid,solid,no,no,no,
$1D5,special,special,passable,passable,yes,no,yes,Special/control value; the room loader performs extra runtime handling.
$1D6,passable,passable,passable,passable,yes,no,no,
$1D7,passable,passable,passable,passable,yes,no,no,
$1D8,passable,passable,passable,passable,yes,no,no,
$1D9,passable,passable,passable,passable,yes,no,no,
$1DA,passable,passable,passable,passable,yes,no,no,
$1DB,passable,passable,passable,passable,yes,no,no,
$1DC,passable,passable,passable,passable,yes,no,no,
$1DD,passable,passable,passable,passable,yes,no,no,
$1DE,passable,passable,passable,passable,yes,no,no,
$1DF,solid,solid,solid,solid,no,no,no,
$1E0,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1E1,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1E2,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1E3,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1E4,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1E5,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1E6,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1E7,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1E8,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1E9,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1EA,solid,solid,solid,solid,no,no,no,
$1EB,solid,solid,solid,solid,no,no,no,
$1EC,solid,solid,solid,solid,no,no,no,
$1ED,solid,solid,solid,solid,no,no,no,
$1EE,solid,solid,solid,solid,no,no,no,
$1EF,solid,solid,solid,solid,no,no,no,
$1F0,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1F1,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1F2,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1F3,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1F4,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1F5,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1F6,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1F7,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1F8,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1F9,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1FA,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1FB,solid,solid,solid,solid,no,no,no,
$1FC,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1FD,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1FE,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$1FF,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$200,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$201,solid,solid,solid,solid,no,no,no,
$202,solid,solid,solid,solid,no,no,no,
$203,solid,solid,solid,solid,no,no,no,
$204,solid,solid,solid,solid,no,no,no,
$205,solid,solid,solid,solid,no,no,no,
$206,solid,solid,solid,solid,no,no,no,
$207,solid,solid,solid,solid,no,no,no,
$208,solid,solid,solid,solid,no,no,no,
$209,solid,solid,solid,solid,no,no,no,
$20A,solid,solid,solid,solid,no,no,no,
$20B,solid,solid,solid,solid,no,no,no,
$20C,solid,solid,solid,solid,no,no,no,
$20D,solid,solid,solid,solid,no,no,no,
$20E,solid,solid,solid,solid,no,no,no,
$20F,solid,solid,solid,solid,no,no,no,
$210,destructible,destructible,solid,solid,no,yes,no,
$211,solid,solid,solid,solid,no,no,no,
$212,solid,solid,solid,solid,no,no,no,
$213,solid,solid,solid,solid,no,no,no,
$214,solid,solid,solid,solid,no,no,no,
$215,solid,solid,solid,solid,no,no,no,
$216,solid,solid,solid,solid,no,no,no,
$217,solid,solid,solid,solid,no,no,no,
$218,solid,solid,solid,solid,no,no,no,
$219,solid,solid,solid,solid,no,no,no,
$21A,solid,solid,solid,solid,no,no,no,
$21B,passable,passable,passable,passable,yes,no,no,
$21C,solid,solid,solid,solid,no,no,no,
$21D,solid,solid,solid,solid,no,no,no,
$21E,solid,solid,solid,solid,no,no,no,
$21F,solid,solid,solid,solid,no,no,no,
$220,solid,solid,solid,solid,no,no,no,
$221,solid,solid,solid,solid,no,no,no,
$222,solid,solid,solid,solid,no,no,no,
$223,solid,solid,solid,solid,no,no,no,
$224,solid,solid,solid,solid,no,no,no,
$225,solid,solid,solid,solid,no,no,no,
$226,solid,solid,solid,solid,no,no,no,
$227,solid,solid,solid,solid,no,no,no,
$228,solid,solid,solid,solid,no,no,no,
$229,solid,solid,solid,solid,no,no,no,
$22A,solid,solid,solid,solid,no,no,no,
$22B,solid,solid,solid,solid,no,no,no,
$22C,solid,solid,solid,solid,no,no,no,
$22D,solid,solid,solid,solid,no,no,no,
$22E,solid,solid,solid,solid,no,no,no,
$22F,solid,solid,solid,solid,no,no,no,
