level,logical_room,physical_background,tile_x,tile_y,pixel_x,pixel_y,tile_id,literal_marker_text,category,behaviour_runtime,confidence
4,69,69,18,9,$140,$0A8,$1F0,RNET ←,directional_mover,$0114E6,High
4,70,70,12,4,$0E0,$058,$1F0,RNET ←,directional_mover,$0114E6,High
4,70,70,9,6,$0B0,$078,$1F0,RNET ←,directional_mover,$0114E6,High
4,76,76,19,5,$150,$068,$1F0,RNET ←,directional_mover,$0114E6,High
4,79,79,15,4,$110,$058,$1F0,RNET ←,directional_mover,$0114E6,High
2,8,6,2,6,$040,$078,$1F1,RNET →,directional_mover,$01846E,High
4,2,2,1,8,$030,$098,$1F1,RNET →,directional_mover,$01846E,High
4,3,3,1,7,$030,$088,$1F1,RNET →,directional_mover,$01846E,High
4,3,3,1,8,$030,$098,$1F1,RNET →,directional_mover,$01846E,High
4,4,4,3,4,$050,$058,$1F1,RNET →,directional_mover,$01846E,High
4,4,4,3,5,$050,$068,$1F1,RNET →,directional_mover,$01846E,High
4,14,14,11,5,$0D0,$068,$1F1,RNET →,directional_mover,$01846E,High
4,19,19,1,7,$030,$088,$1F1,RNET →,directional_mover,$01846E,High
4,20,20,1,2,$030,$038,$1F1,RNET →,directional_mover,$01846E,High
4,20,20,4,4,$060,$058,$1F1,RNET →,directional_mover,$01846E,High
4,20,20,8,6,$0A0,$078,$1F1,RNET →,directional_mover,$01846E,High
4,20,20,4,7,$060,$088,$1F1,RNET →,directional_mover,$01846E,High
4,22,22,3,2,$050,$038,$1F1,RNET →,directional_mover,$01846E,High
4,30,30,1,2,$030,$038,$1F1,RNET →,directional_mover,$01846E,High
4,30,30,1,3,$030,$048,$1F1,RNET →,directional_mover,$01846E,High
4,38,38,3,2,$050,$038,$1F1,RNET →,directional_mover,$01846E,High
4,38,38,4,4,$060,$058,$1F1,RNET →,directional_mover,$01846E,High
4,38,38,6,6,$080,$078,$1F1,RNET →,directional_mover,$01846E,High
4,47,47,2,6,$040,$078,$1F1,RNET →,directional_mover,$01846E,High
4,56,56,2,4,$040,$058,$1F1,RNET →,directional_mover,$01846E,High
4,60,60,10,4,$0C0,$058,$1F1,RNET →,directional_mover,$01846E,High
4,60,60,10,5,$0C0,$068,$1F1,RNET →,directional_mover,$01846E,High
4,60,60,10,6,$0C0,$078,$1F1,RNET →,directional_mover,$01846E,High
4,60,60,10,7,$0C0,$088,$1F1,RNET →,directional_mover,$01846E,High
4,64,64,5,1,$070,$028,$1F1,RNET →,directional_mover,$01846E,High
4,64,64,5,3,$070,$048,$1F1,RNET →,directional_mover,$01846E,High
4,64,64,5,5,$070,$068,$1F1,RNET →,directional_mover,$01846E,High
4,64,64,5,7,$070,$088,$1F1,RNET →,directional_mover,$01846E,High
4,64,64,5,9,$070,$0A8,$1F1,RNET →,directional_mover,$01846E,High
4,65,65,1,2,$030,$038,$1F1,RNET →,directional_mover,$01846E,High
4,65,65,1,4,$030,$058,$1F1,RNET →,directional_mover,$01846E,High
4,65,65,1,6,$030,$078,$1F1,RNET →,directional_mover,$01846E,High
4,65,65,1,8,$030,$098,$1F1,RNET →,directional_mover,$01846E,High
4,66,66,3,6,$050,$078,$1F1,RNET →,directional_mover,$01846E,High
4,66,66,3,8,$050,$098,$1F1,RNET →,directional_mover,$01846E,High
4,66,66,3,9,$050,$0A8,$1F1,RNET →,directional_mover,$01846E,High
4,68,68,1,2,$030,$038,$1F1,RNET →,directional_mover,$01846E,High
4,70,70,14,4,$100,$058,$1F1,RNET →,directional_mover,$01846E,High
4,70,70,18,4,$140,$058,$1F1,RNET →,directional_mover,$01846E,High
4,70,70,11,6,$0D0,$078,$1F1,RNET →,directional_mover,$01846E,High
4,70,70,16,6,$120,$078,$1F1,RNET →,directional_mover,$01846E,High
1,4,10,14,9,$100,$0A8,$1F2,BNUS MVE,bonus_object,$016D32,High
1,8,1,4,4,$060,$058,$1F2,BNUS MVE,bonus_object,$016D32,High
1,16,2,3,4,$050,$058,$1F2,BNUS MVE,bonus_object,$016D32,High
1,18,4,14,7,$100,$088,$1F2,BNUS MVE,bonus_object,$016D32,High
2,1,4,5,3,$070,$048,$1F2,BNUS MVE,bonus_object,$016D32,High
2,9,3,2,9,$040,$0A8,$1F2,BNUS MVE,bonus_object,$016D32,High
2,10,2,3,4,$050,$058,$1F2,BNUS MVE,bonus_object,$016D32,High
2,13,15,16,8,$120,$098,$1F2,BNUS MVE,bonus_object,$016D32,High
2,28,18,15,4,$110,$058,$1F2,BNUS MVE,bonus_object,$016D32,High
3,0,1,3,6,$050,$078,$1F2,BNUS MVE,bonus_object,$016D32,High
3,0,1,5,6,$070,$078,$1F2,BNUS MVE,bonus_object,$016D32,High
3,0,1,4,7,$060,$088,$1F2,BNUS MVE,bonus_object,$016D32,High
3,1,0,4,8,$060,$098,$1F2,BNUS MVE,bonus_object,$016D32,High
3,6,23,4,4,$060,$058,$1F2,BNUS MVE,bonus_object,$016D32,High
3,9,3,13,2,$0F0,$038,$1F2,BNUS MVE,bonus_object,$016D32,High
3,28,30,13,7,$0F0,$088,$1F2,BNUS MVE,bonus_object,$016D32,High
4,0,0,1,9,$030,$0A8,$1F2,BNUS MVE,bonus_object,$016D32,High
4,0,0,2,9,$040,$0A8,$1F2,BNUS MVE,bonus_object,$016D32,High
4,0,0,3,9,$050,$0A8,$1F2,BNUS MVE,bonus_object,$016D32,High
4,11,11,3,5,$050,$068,$1F2,BNUS MVE,bonus_object,$016D32,High
4,11,11,8,5,$0A0,$068,$1F2,BNUS MVE,bonus_object,$016D32,High
4,15,15,6,1,$080,$028,$1F2,BNUS MVE,bonus_object,$016D32,High
4,19,19,4,9,$060,$0A8,$1F2,BNUS MVE,bonus_object,$016D32,High
4,19,19,7,9,$090,$0A8,$1F2,BNUS MVE,bonus_object,$016D32,High
4,19,19,16,9,$120,$0A8,$1F2,BNUS MVE,bonus_object,$016D32,High
4,29,29,1,5,$030,$068,$1F2,BNUS MVE,bonus_object,$016D32,High
4,32,32,4,2,$060,$038,$1F2,BNUS MVE,bonus_object,$016D32,High
4,35,35,3,4,$050,$058,$1F2,BNUS MVE,bonus_object,$016D32,High
4,35,35,6,4,$080,$058,$1F2,BNUS MVE,bonus_object,$016D32,High
4,48,48,2,9,$040,$0A8,$1F2,BNUS MVE,bonus_object,$016D32,High
4,49,49,1,3,$030,$048,$1F2,BNUS MVE,bonus_object,$016D32,High
4,49,49,2,3,$040,$048,$1F2,BNUS MVE,bonus_object,$016D32,High
4,59,59,18,8,$140,$098,$1F2,BNUS MVE,bonus_object,$016D32,High
4,59,59,17,9,$130,$0A8,$1F2,BNUS MVE,bonus_object,$016D32,High
4,64,64,12,3,$0E0,$048,$1F2,BNUS MVE,bonus_object,$016D32,High
4,68,68,1,7,$030,$088,$1F2,BNUS MVE,bonus_object,$016D32,High
1,4,10,9,4,$0B0,$058,$1F3,BNUS WPN,bonus_object,$016D46,High
1,9,6,7,3,$090,$048,$1F3,BNUS WPN,bonus_object,$016D46,High
1,10,5,7,6,$090,$078,$1F3,BNUS WPN,bonus_object,$016D46,High
1,10,5,11,6,$0D0,$078,$1F3,BNUS WPN,bonus_object,$016D46,High
1,16,2,4,4,$060,$058,$1F3,BNUS WPN,bonus_object,$016D46,High
2,2,1,14,7,$100,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
2,3,0,2,7,$040,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
2,10,2,5,5,$070,$068,$1F3,BNUS WPN,bonus_object,$016D46,High
2,11,11,3,2,$050,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
2,17,8,7,9,$090,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
2,18,9,12,2,$0E0,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
2,18,9,13,3,$0F0,$048,$1F3,BNUS WPN,bonus_object,$016D46,High
2,18,9,14,3,$100,$048,$1F3,BNUS WPN,bonus_object,$016D46,High
2,20,17,13,7,$0F0,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
2,20,17,14,7,$100,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
2,26,20,6,2,$080,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
2,27,19,11,9,$0D0,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
2,27,19,13,9,$0F0,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
2,27,19,15,9,$110,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
2,27,19,17,9,$130,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
2,28,18,13,7,$0F0,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
2,28,18,16,7,$120,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
3,5,14,17,4,$130,$058,$1F3,BNUS WPN,bonus_object,$016D46,High
3,5,14,15,6,$110,$078,$1F3,BNUS WPN,bonus_object,$016D46,High
3,6,23,2,4,$040,$058,$1F3,BNUS WPN,bonus_object,$016D46,High
3,9,3,9,2,$0B0,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
3,17,4,7,2,$090,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
3,17,4,9,2,$0B0,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
3,17,4,11,2,$0D0,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
3,17,4,13,2,$0F0,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
3,27,31,2,2,$040,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
3,29,29,13,2,$0F0,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
3,29,29,10,5,$0C0,$068,$1F3,BNUS WPN,bonus_object,$016D46,High
3,29,29,16,6,$120,$078,$1F3,BNUS WPN,bonus_object,$016D46,High
3,30,28,9,2,$0B0,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
3,30,28,7,4,$090,$058,$1F3,BNUS WPN,bonus_object,$016D46,High
3,30,28,11,4,$0D0,$058,$1F3,BNUS WPN,bonus_object,$016D46,High
4,1,1,13,1,$0F0,$028,$1F3,BNUS WPN,bonus_object,$016D46,High
4,1,1,15,1,$110,$028,$1F3,BNUS WPN,bonus_object,$016D46,High
4,1,1,3,7,$050,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
4,1,1,5,7,$070,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
4,1,1,7,7,$090,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
4,1,1,9,7,$0B0,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
4,1,1,11,7,$0D0,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
4,4,4,3,1,$050,$028,$1F3,BNUS WPN,bonus_object,$016D46,High
4,4,4,4,1,$060,$028,$1F3,BNUS WPN,bonus_object,$016D46,High
4,7,7,11,8,$0D0,$098,$1F3,BNUS WPN,bonus_object,$016D46,High
4,9,9,17,7,$130,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
4,14,14,1,1,$030,$028,$1F3,BNUS WPN,bonus_object,$016D46,High
4,14,14,2,1,$040,$028,$1F3,BNUS WPN,bonus_object,$016D46,High
4,22,22,11,8,$0D0,$098,$1F3,BNUS WPN,bonus_object,$016D46,High
4,23,23,13,1,$0F0,$028,$1F3,BNUS WPN,bonus_object,$016D46,High
4,29,29,18,3,$140,$048,$1F3,BNUS WPN,bonus_object,$016D46,High
4,29,29,18,5,$140,$068,$1F3,BNUS WPN,bonus_object,$016D46,High
4,32,32,9,2,$0B0,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
4,32,32,10,2,$0C0,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
4,34,34,2,9,$040,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
4,34,34,3,9,$050,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
4,34,34,4,9,$060,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
4,35,35,9,4,$0B0,$058,$1F3,BNUS WPN,bonus_object,$016D46,High
4,35,35,12,4,$0E0,$058,$1F3,BNUS WPN,bonus_object,$016D46,High
4,35,35,15,4,$110,$058,$1F3,BNUS WPN,bonus_object,$016D46,High
4,38,38,3,9,$050,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
4,38,38,5,9,$070,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
4,39,39,8,2,$0A0,$038,$1F3,BNUS WPN,bonus_object,$016D46,High
4,39,39,9,4,$0B0,$058,$1F3,BNUS WPN,bonus_object,$016D46,High
4,41,41,7,7,$090,$088,$1F3,BNUS WPN,bonus_object,$016D46,High
4,41,41,1,10,$030,$0B8,$1F3,BNUS WPN,bonus_object,$016D46,High
4,42,42,12,9,$0E0,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
4,48,48,3,9,$050,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
4,49,49,9,1,$0B0,$028,$1F3,BNUS WPN,bonus_object,$016D46,High
4,49,49,10,1,$0C0,$028,$1F3,BNUS WPN,bonus_object,$016D46,High
4,49,49,11,1,$0D0,$028,$1F3,BNUS WPN,bonus_object,$016D46,High
4,59,59,17,8,$130,$098,$1F3,BNUS WPN,bonus_object,$016D46,High
4,59,59,18,9,$140,$0A8,$1F3,BNUS WPN,bonus_object,$016D46,High
4,68,68,1,6,$030,$078,$1F3,BNUS WPN,bonus_object,$016D46,High
4,76,76,4,3,$060,$048,$1F3,BNUS WPN,bonus_object,$016D46,High
4,76,76,11,3,$0D0,$048,$1F3,BNUS WPN,bonus_object,$016D46,High
4,76,76,13,3,$0F0,$048,$1F3,BNUS WPN,bonus_object,$016D46,High
1,17,3,12,9,$0E0,$0A8,$1F4,RNET ↑,directional_mover,$017CA2,High
1,19,13,6,7,$080,$088,$1F4,RNET ↑,directional_mover,$017CA2,High
1,19,13,10,7,$0C0,$088,$1F4,RNET ↑,directional_mover,$017CA2,High
1,19,13,12,7,$0E0,$088,$1F4,RNET ↑,directional_mover,$017CA2,High
1,19,13,5,8,$070,$098,$1F4,RNET ↑,directional_mover,$017CA2,High
