script,table_index,script_runtime_start,script_runtime_end,object_count,animation_start,animation_end,command_index,command_runtime,op,duration,random_mask,dx,dy,projectiles,raw_hex
TOP_1,5,$040307,$04031C,2,$30,$3E,5,$040318,MOVE_REPEAT,7,,0,-1,,800700ff
TOP_1,5,$040307,$04031C,2,$30,$3E,6,$04031C,LOOP,,,,,,81
TOP_2,6,$04031D,$040332,1,$56,$5C,0,$040320,MOVE_REPEAT,10,,0,3,,800a0003
TOP_2,6,$04031D,$040332,1,$56,$5C,1,$040324,FIRE_ONE,,,,,1,82
TOP_2,6,$04031D,$040332,1,$56,$5C,2,$040325,MOVE_REPEAT,10,,3,0,,800a0300
TOP_2,6,$04031D,$040332,1,$56,$5C,3,$040329,MOVE_REPEAT,20,,-3,0,,8014fd00
TOP_2,6,$04031D,$040332,1,$56,$5C,4,$04032D,FIRE_ONE,,,,,1,82
TOP_2,6,$04031D,$040332,1,$56,$5C,5,$04032E,MOVE_REPEAT,10,,3,0,,800a0300
TOP_2,6,$04031D,$040332,1,$56,$5C,6,$040332,LOOP,,,,,,81
TOP_3,7,$040333,$04033E,1,$64,$6A,0,$040336,MOVE_REPEAT,random,$3F,-1,3,,8084ff03
TOP_3,7,$040333,$04033E,1,$64,$6A,1,$04033A,MOVE_REPEAT,random,$3F,1,3,,80840103
TOP_3,7,$040333,$04033E,1,$64,$6A,2,$04033E,LOOP,,,,,,81
RIGHT_0,8,$040290,$0402A1,2,$3E,$46,0,$040293,MOVE_REPEAT,8,,-4,0,,8008fc00
RIGHT_0,8,$040290,$0402A1,2,$3E,$46,1,$040297,FIRE_THREE,,,,,3,85
RIGHT_0,8,$040290,$0402A1,2,$3E,$46,2,$040298,MOVE_REPEAT,6,,0,-4,,800600fc
RIGHT_0,8,$040290,$0402A1,2,$3E,$46,3,$04029C,FIRE_ONE,,,,,1,82
RIGHT_0,8,$040290,$0402A1,2,$3E,$46,4,$04029D,MOVE_REPEAT,6,,0,4,,80060004
RIGHT_0,8,$040290,$0402A1,2,$3E,$46,5,$0402A1,LOOP,,,,,,81
RIGHT_1,9,$0402A2,$0402BA,1,$60,$64,0,$0402A5,MOVE_REPEAT,20,,-2,-1,,8014feff
RIGHT_1,9,$0402A2,$0402BA,1,$60,$64,1,$0402A9,FIRE_ONE,,,,,1,82
RIGHT_1,9,$0402A2,$0402BA,1,$60,$64,2,$0402AA,MOVE_REPEAT,20,,-2,1,,8014fe01
RIGHT_1,9,$0402A2,$0402BA,1,$60,$64,3,$0402AE,MOVE_REPEAT,20,,1,2,,80140102
RIGHT_1,9,$0402A2,$0402BA,1,$60,$64,4,$0402B2,MOVE_REPEAT,10,,1,-2,,800a01fe
RIGHT_1,9,$0402A2,$0402BA,1,$60,$64,5,$0402B6,MOVE_REPEAT,50,,-3,1,,8032fd01
RIGHT_1,9,$0402A2,$0402BA,1,$60,$64,6,$0402BA,LOOP,,,,,,81
RIGHT_2,10,$0402BB,$0402CE,1,$6A,$6E,0,$0402BE,MOVE_REPEAT,18,,-4,1,,8012fc01
RIGHT_2,10,$0402BB,$0402CE,1,$6A,$6E,1,$0402C2,MOVE_REPEAT,15,,2,-1,,800f02ff
RIGHT_2,10,$0402BB,$0402CE,1,$6A,$6E,2,$0402C6,MOVE_REPEAT,18,,-2,1,,8012fe01
RIGHT_2,10,$0402BB,$0402CE,1,$6A,$6E,3,$0402CA,MOVE_REPEAT,15,,2,1,,800f0201
RIGHT_2,10,$0402BB,$0402CE,1,$6A,$6E,4,$0402CE,LOOP,,,,,,81
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,0,$0402D2,MOVE_REPEAT,10,,-3,0,,800afd00
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,1,$0402D6,FIRE_ONE,,,,,1,82
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,2,$0402D7,MOVE_REPEAT,10,,0,-3,,800a00fd
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,3,$0402DB,FIRE_ONE,,,,,1,82
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,4,$0402DC,MOVE_REPEAT,10,,-3,0,,800afd00
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,5,$0402E0,FIRE_ONE,,,,,1,82
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,6,$0402E1,MOVE_REPEAT,20,,0,3,,80140003
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,7,$0402E5,FIRE_ONE,,,,,1,82
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,8,$0402E6,MOVE_REPEAT,10,,-3,0,,800afd00
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,9,$0402EA,FIRE_ONE,,,,,1,82
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,10,$0402EB,MOVE_REPEAT,10,,0,-3,,800a00fd
RIGHT_3,11,$0402CF,$0402EF,2,$30,$3E,11,$0402EF,LOOP,,,,,,81
LEFT_0,12,$040217,$040230,2,$3E,$46,0,$04021A,MOVE_REPEAT,20,,4,0,,80140400
LEFT_0,12,$040217,$040230,2,$3E,$46,1,$04021E,MOVE_REPEAT,20,,2,1,,80140201
LEFT_0,12,$040217,$040230,2,$3E,$46,2,$040222,FIRE_ONE,,,,,1,82
LEFT_0,12,$040217,$040230,2,$3E,$46,3,$040223,MOVE_REPEAT,20,,2,-1,,801402ff
LEFT_0,12,$040217,$040230,2,$3E,$46,4,$040227,MOVE_REPEAT,20,,-4,0,,8014fc00
LEFT_0,12,$040217,$040230,2,$3E,$46,5,$04022B,FIRE_ONE,,,,,1,82
LEFT_0,12,$040217,$040230,2,$3E,$46,6,$04022C,MOVE_REPEAT,40,,0,1,,80280001
LEFT_0,12,$040217,$040230,2,$3E,$46,7,$040230,LOOP,,,,,,81
LEFT_1,13,$040231,$040259,1,$52,$56,0,$040234,MOVE_REPEAT,40,,2,0,,80280200
LEFT_1,13,$040231,$040259,1,$52,$56,1,$040238,FIRE_ONE,,,,,1,82
LEFT_1,13,$040231,$040259,1,$52,$56,2,$040239,MOVE_REPEAT,10,,2,2,,800a0202
LEFT_1,13,$040231,$040259,1,$52,$56,3,$04023D,MOVE_REPEAT,10,,2,0,,800a0200
LEFT_1,13,$040231,$040259,1,$52,$56,4,$040241,MOVE_REPEAT,10,,2,-2,,800a02fe
LEFT_1,13,$040231,$040259,1,$52,$56,5,$040245,MOVE_REPEAT,10,,0,-2,,800a00fe
LEFT_1,13,$040231,$040259,1,$52,$56,6,$040249,MOVE_REPEAT,10,,-2,-2,,800afefe
LEFT_1,13,$040231,$040259,1,$52,$56,7,$04024D,MOVE_REPEAT,10,,-2,0,,800afe00
LEFT_1,13,$040231,$040259,1,$52,$56,8,$040251,MOVE_REPEAT,10,,-2,2,,800afe02
LEFT_1,13,$040231,$040259,1,$52,$56,9,$040255,MOVE_REPEAT,5,,0,2,,80050002
LEFT_1,13,$040231,$040259,1,$52,$56,10,$040259,LOOP,,,,,,81
LEFT_2,14,$04025A,$04026E,1,$5C,$60,0,$04025D,MOVE_REPEAT,35,,4,1,,80230401
LEFT_2,14,$04025A,$04026E,1,$5C,$60,1,$040261,FIRE_ONE,,,,,1,82
LEFT_2,14,$04025A,$04026E,1,$5C,$60,2,$040262,MOVE_REPEAT,10,,2,-1,,800a02ff
LEFT_2,14,$04025A,$04026E,1,$5C,$60,3,$040266,MOVE_REPEAT,5,,4,1,,80050401
LEFT_2,14,$04025A,$04026E,1,$5C,$60,4,$04026A,MOVE_REPEAT,15,,4,-2,,800f04fe
LEFT_2,14,$04025A,$04026E,1,$5C,$60,5,$04026E,LOOP,,,,,,81
LEFT_3,15,$04026F,$04028F,1,$4E,$52,0,$040272,MOVE_REPEAT,50,,2,0,,80320200
LEFT_3,15,$04026F,$04028F,1,$4E,$52,1,$040276,FIRE_THREE,,,,,3,85
LEFT_3,15,$04026F,$04028F,1,$4E,$52,2,$040277,MOVE_REPEAT,20,,0,-2,,801400fe
LEFT_3,15,$04026F,$04028F,1,$4E,$52,3,$04027B,MOVE_REPEAT,10,,2,0,,800a0200
LEFT_3,15,$04026F,$04028F,1,$4E,$52,4,$04027F,FIRE_ONE,,,,,1,82
LEFT_3,15,$04026F,$04028F,1,$4E,$52,5,$040280,MOVE_REPEAT,20,,0,2,,80140002
LEFT_3,15,$04026F,$04028F,1,$4E,$52,6,$040284,WAIT,random,$1F,,,,8384
LEFT_3,15,$04026F,$04028F,1,$4E,$52,7,$040286,MOVE_REPEAT,10,,1,-1,,800a01ff
LEFT_3,15,$04026F,$04028F,1,$4E,$52,8,$04028A,FIRE_THREE,,,,,3,85
LEFT_3,15,$04026F,$04028F,1,$4E,$52,9,$04028B,MOVE_REPEAT,10,,0,-4,,800a00fc
LEFT_3,15,$04026F,$04028F,1,$4E,$52,10,$04028F,LOOP,,,,,,81
