level,logical_room,physical_background,map_source_runtime,edge_spawn_markers,level4_bonus_spawn_pits,edge_crawler_bug_markers,paired_moving_enemy_markers,cannon_or_projectile_emitters,collectable_control_markers,destructible_tile_cells,level_end_landing_pad
1,18,4,$0408EA,,,,"$1F8@9,2","$300@13,6","$1F2@14,7","$300@13,6;$066@13,7;$062@12,8;$064@13,8;$063@14,8;$065@15,8;$05C@12,9;$05D@13,9;$05E@14,9",
1,19,13,$040A52,,,"$1FC@15,6",,,,"$068@15,5;$068@7,7;$069@6,8;$068@7,8;$069@10,8;$068@14,8",
1,20,12,$040A2A,,,"$1FD@13,3;$1FD@14,3;$1FD@15,3;$1FD@16,3",,,,"$069@2,4;$06B@2,5;$069@3,5;$06B@1,6;$069@2,6;$06B@3,6;$06B@2,7;$069@3,7;$06B@4,7;$069@5,7;$06B@6,7;$069@2,8;$06B@3,8;$069@4,8;$06B@5,8;$069@6,8;$06B@7,8",
2,0,5,$0422F0,,,,"$1F8@13,1;$1F8@9,2;$1F8@11,3",,,,
2,1,4,$0422C8,,,,,"$30C@13,2","$1F2@5,3","$116@12,1;$117@13,1;$118@14,1;$119@15,1;$11A@12,2;$30C@13,2;$30D@14,2;$11D@15,2;$11E@12,3;$30E@13,3;$30F@14,3;$232@10,6;$233@11,6;$234@10,7;$235@11,7;$242@15,7;$243@16,7;$236@10,8;$237@11,8;$244@15,8;$245@16,8",
2,2,1,$042250,,,,,"$31C@10,4","$1F3@14,7","$069@5,7;$069@7,7;$069@13,7;$069@15,7;$069@4,8;$06B@5,8;$069@6,8;$06B@7,8;$069@8,8;$069@10,8;$069@12,8;$06B@13,8;$069@14,8;$06B@15,8;$069@16,8;$069@7,9;$06B@8,9;$069@9,9;$06B@10,9;$069@11,9;$06B@12,9;$069@13,9;$06B@14,9;$06B@7,10;$069@8,10;$06B@9,10;$069@10,10;$06B@11,10;$069@12,10;$06B@13,10;$069@14,10",
2,3,0,$042228,,,,,,"$1F3@2,7","$232@7,6;$233@8,6;$234@7,7;$235@8,7;$236@7,8;$237@8,8",
2,4,13,$042430,,,"$1FC@16,2;$1FC@17,2;$1FC@18,2;$1FC@19,2;$1FD@6,4;$1FD@12,4",,,,"$068@8,3;$0ED@9,3;$068@10,3;$0ED@8,6;$068@9,6;$0ED@10,6",
2,5,14,$042458,"$1E2@3,10;$1E3@16,10",,,,,,,
2,8,6,$042318,"$1E2@5,10;$1E3@13,10",,,,,,,
2,9,3,$0422A0,,,"$1FC@5,3;$1FC@6,3;$1FC@7,3",,,"$1F2@2,9","$232@4,7;$233@5,7;$234@4,8;$235@5,8;$236@4,9;$237@5,9",
2,10,2,$042278,"$1E4@0,4;$1E5@0,6",,,,,"$1F2@3,4;$1F3@5,5",,
2,11,11,$0423E0,,,"$1FD@11,5;$1FD@12,5;$1FD@13,5;$1FD@14,5;$1FE@11,7;$1FE@12,7;$1FE@13,7;$1FE@14,7",,"$329@6,4","$1F3@3,2;$1FA@4,2","$068@2,2;$068@12,2;$0ED@13,2;$068@14,2;$068@15,2;$068@16,2;$068@17,2;$068@18,2;$068@11,3;$0ED@12,3;$068@13,3;$068@14,3;$068@10,4;$0ED@11,4;$068@12,4;$0ED@13,4;$068@14,4;$068@9,5;$0ED@10,5;$0ED@7,6;$068@8,6;$0ED@9,6;$068@10,6;$068@11,6;$068@12,6;$068@13,6;$068@14,6;$0ED@6,7;$068@7,7;$0ED@8,7;$068@9,7;$0ED@10,7;$068@8,8;$0ED@9,8;$068@10,8;$0ED@11,8;$068@12,8;$0ED@13,8;$068@14,8;$0ED@15,8;$068@16,8;$0ED@10,9;$068@11,9;$0ED@12,9",
2,12,12,$042408,,,"$1FC@8,2;$1FC@9,2;$1FC@10,2;$1FC@11,2;$1FC@12,2;$1FC@13,2;$1FC@14,2",,,,"$068@4,3;$0ED@4,4;$068@4,5;$0ED@4,6;$068@4,7",
2,13,15,$042480,"$1E2@3,10;$1E3@10,10",,,,"$300@13,5","$1F2@16,8","$069@3,2;$06B@4,2;$069@5,2;$06B@6,2;$069@7,2;$06B@8,2;$069@9,2;$06B@10,2;$069@11,2;$06B@12,2;$069@13,2;$06B@14,2;$069@15,2;$069@16,2;$06B@3,3;$069@4,3;$06B@5,3;$069@6,3;$06B@7,3;$069@8,3;$06B@9,3;$069@10,3;$06B@11,3;$069@12,3;$06B@13,3;$069@14,3;$06B@15,3;$069@5,4;$069@7,4;$069@9,4;$069@11,4;$300@13,5;$066@13,6;$062@12,7;$064@13,7;$063@14,7;$065@15,7;$069@16,7;$05C@12,8;$05D@13,8;$05E@14,8;$05F@15,8",
2,16,7,$042340,,,,,"$30C@16,3",,"$116@15,2;$117@16,2;$118@17,2;$119@18,2;$11A@15,3;$30C@16,3;$30D@17,3;$11D@18,3;$11E@15,4;$30E@16,4;$30F@17,4;$232@11,7;$233@12,7;$242@8,8;$243@9,8;$234@11,8;$235@12,8;$244@8,9;$245@9,9;$236@11,9;$237@12,9",
2,17,8,$042368,"$1E8@19,2;$1E9@19,7",,,,,"$1FA@9,8;$1F3@7,9","$242@3,7;$243@4,7;$244@3,8;$245@4,8",
2,18,9,$042390,,,,,"$31C@16,4;$300@9,6","$1F3@12,2;$1F3@13,3;$1F3@14,3","$300@9,6;$066@9,7;$232@17,7;$233@18,7;$062@8,8;$064@9,8;$063@10,8;$065@11,8;$234@17,8;$235@18,8;$05C@8,9;$05D@9,9;$05E@10,9;$05F@11,9;$236@17,9;$237@18,9",
2,19,10,$0423B8,,,,,"$346@12,6",,,
2,20,17,$0424D0,,,,,"$31C@5,3","$1F3@13,7;$1F3@14,7",,
2,21,16,$0424A8,,,,,"$30C@14,4",,"$116@13,3;$117@14,3;$118@15,3;$119@16,3;$11A@13,4;$30C@14,4;$30D@15,4;$11D@16,4;$232@6,5;$233@7,5;$11E@13,5;$30E@14,5;$30F@15,5;$234@6,6;$235@7,6;$242@3,7;$243@4,7;$236@6,7;$237@7,7;$244@3,8;$245@4,8",
2,24,22,$042598,,,,,,,,yes
2,25,21,$042570,"$1E4@0,2;$1E5@0,8",,,"$1F8@12,2",,,,
2,26,20,$042548,"$1E4@0,2;$1E5@0,8",,,,,"$1F3@6,2","$232@3,6;$233@4,6;$234@3,7;$235@4,7;$236@3,8;$237@4,8",
2,27,19,$042520,,,,,"$329@5,8","$1F3@11,9;$1F3@13,9;$1F3@15,9;$1F3@17,9",,
2,28,18,$0424F8,,,,,,"$1FA@12,4;$1F2@15,4;$1F3@13,7;$1F3@16,7","$0ED@11,2;$068@12,2;$0ED@13,2;$068@14,2;$0ED@15,2;$068@16,2;$068@11,3;$068@13,3;$0ED@14,3;$0ED@16,3;$0ED@11,4;$0ED@13,4;$068@14,4;$068@16,4;$0ED@8,5;$068@9,5;$0ED@10,5;$068@11,5;$0ED@12,5;$068@13,5;$0ED@14,5;$068@15,5;$0ED@16,5;$232@3,6;$233@4,6;$068@8,6;$0ED@9,6;$068@10,6;$0ED@11,6;$068@12,6;$068@14,6;$0ED@15,6;$234@3,7;$235@4,7;$0ED@8,7;$068@9,7;$0ED@10,7;$068@11,7;$0ED@12,7;$0ED@14,7;$068@15,7;$236@3,8;$237@4,8;$068@8,8;$0ED@9,8;$068@10,8;$0ED@11,8;$068@12,8;$0ED@13,8;$068@14,8;$0ED@15,8;$068@16,8",
3,0,1,$0449D8,,,,,"$31C@9,4;$300@9,5","$1F2@3,6;$1F2@5,6;$1F2@4,7","$300@9,5;$066@9,6;$062@8,7;$064@9,7;$063@10,7;$065@11,7;$05C@8,8;$05D@9,8;$05E@10,8;$05F@11,8",
3,1,0,$0449B0,,,,,,"$1F2@4,8",,
3,2,11,$044B68,"$1E2@5,10;$1E3@15,10",,,,"$30C@8,3",,"$116@7,2;$117@8,2;$118@9,2;$119@10,2;$11A@7,3;$30C@8,3;$30D@9,3;$11D@10,3;$11E@7,4;$30E@8,4;$30F@9,4",
3,3,12,$044B90,"$1E8@19,1;$1E9@19,9",,,"$1F8@8,1;$1F8@10,1;$1F8@12,1",,"$1FA@6,2",,
3,4,13,$044BB8,"$1E4@0,6;$1E5@0,9",,,,"$30C@4,2",,"$116@3,1;$117@4,1;$118@5,1;$119@6,1;$11A@3,2;$30C@4,2;$30D@5,2;$11D@6,2;$11E@3,3;$30E@4,3;$30F@5,3",
3,5,14,$044BE0,,,"$1FD@14,2;$1FD@16,2;$1FD@15,3;$1FD@14,4;$1FD@13,5;$1FD@12,6",,,"$1F3@17,4;$1F3@15,6","$0ED@17,2;$0ED@16,3;$068@17,3;$0ED@15,4;$068@16,4;$0ED@14,5;$068@15,5;$0ED@16,5;$068@17,5;$0ED@13,6;$068@14,6;$068@16,6;$0ED@17,6;$0ED@12,7;$068@13,7;$0ED@14,7;$068@15,7;$0ED@16,7;$068@17,7;$0ED@11,8;$068@12,8;$0ED@13,8;$068@14,8;$0ED@15,8;$068@16,8;$0ED@17,8;$068@17,9",
3,6,23,$044D48,,,,,,"$1F3@2,4;$1FA@3,4;$1F2@4,4",,
3,7,24,$044D70,"$1E2@5,10;$1E3@17,10",,,,"$30C@14,3",,"$116@13,2;$117@14,2;$118@15,2;$119@16,2;$11A@13,3;$30C@14,3;$30D@15,3;$11D@16,3;$11E@13,4;$30E@14,4;$30F@15,4",
3,8,2,$044A00,"$1E8@19,1;$1E9@19,9",,,,"$30C@9,4",,"$116@8,3;$117@9,3;$118@10,3;$119@11,3;$11A@8,4;$30C@9,4;$30D@10,4;$11D@11,4;$11E@8,5;$30E@9,5;$30F@10,5;$242@3,7;$243@4,7;$244@3,8;$245@4,8",
3,9,3,$044A28,,,,,,"$1F3@9,2;$1FA@11,2;$1F2@13,2",,
3,10,10,$044B40,"$1E6@2,0;$1E7@18,0",,,,"$300@4,3",,"$300@4,3;$066@4,4;$062@3,5;$064@4,5;$063@5,5;$065@6,5;$05C@3,6;$05D@4,6;$05E@5,6;$05F@6,6",
3,11,17,$044C58,"$1E2@3,10;$1E3@13,10",,,,,,,
3,12,16,$044C30,,,"$1FF@7,2;$1FF@8,2;$1FF@9,2;$1FF@10,2;$1FF@11,2",,"$329@4,6",,,
3,13,15,$044C08,,,,"$1F8@11,4;$1F6@5,8",,,"$232@8,6;$233@9,6;$234@8,7;$235@9,7;$236@8,8;$237@9,8",
3,14,22,$044D20,"$1E6@2,0;$1E7@18,0",,,,,,,
3,15,25,$044D98,"$1E2@5,10;$1E3@17,10",,,,,,"$069@6,1;$069@16,1;$069@5,2;$06B@6,2;$069@7,2;$069@15,2;$06B@16,2;$069@17,2;$069@6,3;$069@16,3",
3,16,5,$044A78,,,"$1FD@12,2;$1FD@13,2",,,,,
3,17,4,$044A50,,,,,"$346@11,6","$1F3@7,2;$1F3@9,2;$1F3@11,2;$1F3@13,2","$069@4,2;$069@6,2;$069@8,2;$069@10,2;$069@12,2;$069@14,2;$069@16,2;$06B@4,3;$069@5,3;$06B@6,3;$069@7,3;$06B@8,3;$069@9,3;$06B@10,3;$069@11,3;$06B@12,3;$069@13,3;$06B@14,3;$069@15,3;$06B@16,3;$069@17,3;$069@4,4;$069@6,4;$069@8,4;$069@10,4;$069@12,4;$069@14,4;$069@16,4;$0ED@0,6;$0ED@2,6;$0ED@4,6;$068@5,6;$069@1,7;$069@3,7;$0ED@5,7;$068@5,8",
3,18,9,$044B18,"$1E6@3,0;$1E7@11,0",,,,,,"$232@2,6;$233@3,6;$234@2,7;$235@3,7;$242@5,7;$243@6,7;$236@2,8;$237@3,8;$244@5,8;$245@6,8",
3,19,18,$044C80,,,,,"$30C@16,6",,"$068@3,1;$0ED@4,1;$068@5,1;$0ED@6,1;$068@7,1;$0ED@8,1;$068@9,1;$0ED@10,1;$068@11,1;$0ED@12,1;$068@13,1;$069@3,2;$06B@4,2;$069@5,2;$06B@6,2;$069@7,2;$06B@8,2;$069@9,2;$06B@10,2;$069@11,2;$06B@12,2;$069@13,2;$069@4,3;$069@6,3;$069@8,3;$069@10,3;$069@12,3;$116@15,5;$117@16,5;$118@17,5;$119@18,5;$11A@15,6;$30C@16,6;$30D@17,6;$11D@18,6;$11E@15,7;$30E@16,7;$30F@17,7",
3,20,19,$044CA8,"$1E8@19,3;$1E9@19,7",,,,"$300@15,5",,"$300@15,5;$232@3,6;$233@4,6;$066@15,6;$234@3,7;$235@4,7;$062@14,7;$064@15,7;$063@16,7;$065@17,7;$236@3,8;$237@4,8;$05C@14,8;$05D@15,8;$05E@16,8;$05F@17,8",
3,21,20,$044CD0,"$1E8@19,3;$1E9@19,7",,,,,,,
3,22,21,$044CF8,"$1E6@13,0;$1E7@17,0",,,,"$30C@8,3;$300@6,5",,"$116@7,2;$117@8,2;$118@9,2;$119@10,2;$11A@7,3;$30C@8,3;$30D@9,3;$11D@10,3;$11E@7,4;$30E@8,4;$30F@9,4;$300@6,5;$066@6,6;$062@5,7;$064@6,7;$063@7,7;$065@8,7;$05C@5,8;$05D@6,8;$05E@7,8;$05F@8,8",
3,23,26,$044DC0,"$1E3@5,10;$1E3@17,10",,,,,,"$232@7,3;$233@8,3;$242@5,4;$243@6,4;$234@7,4;$235@8,4;$244@5,5;$245@6,5;$236@7,5;$237@8,5",
3,24,6,$044AA0,"$1E8@19,2;$1E9@19,8",,,,"$30C@14,3",,"$116@13,2;$117@14,2;$118@15,2;$119@16,2;$11A@13,3;$30C@14,3;$30D@15,3;$11D@16,3;$11E@13,4;$30E@14,4;$30F@15,4;$232@5,6;$233@6,6;$234@5,7;$235@6,7;$236@5,8;$237@6,8",
3,25,7,$044AC8,"$1E8@19,2;$1E9@19,7",,,,,"$1FA@10,2",,
3,26,8,$044AF0,,,,"$1F8@2,2;$1F8@4,3;$1F8@6,4;$1F8@8,5",,,"$069@5,5;$069@9,5;$069@3,7;$069@7,7",
3,27,31,$044E88,,,,"$1F8@5,2;$1F8@7,3;$1F8@11,3;$1F8@9,4",,"$1F3@2,2","$069@4,4;$069@8,4;$069@12,4;$069@6,6;$069@10,6",yes
3,28,30,$044E60,,,,,,"$1FA@11,7;$1F2@13,7","$232@6,6;$233@7,6;$242@4,7;$243@5,7;$234@6,7;$235@7,7;$244@4,8;$245@5,8;$236@6,8;$237@7,8",
3,29,29,$044E38,"$1E4@0,2;$1E5@0,8",,,,"$30C@8,3;$300@9,5","$1F3@13,2;$1F3@10,5;$1F3@16,6","$116@7,2;$117@8,2;$118@9,2;$119@10,2;$11A@7,3;$30C@8,3;$30D@9,3;$11D@10,3;$11E@7,4;$30E@8,4;$30F@9,4;$300@9,5;$066@9,6;$062@8,7;$064@9,7;$063@10,7;$065@11,7;$05C@8,8;$05D@9,8;$05E@10,8;$05F@11,8",
3,30,28,$044E10,,,,,"$329@4,6","$1F3@9,2;$1F3@7,4;$1F3@11,4",,
3,31,27,$044DE8,,,,,"$346@14,6",,"$06B@14,2;$069@15,2;$06B@16,2;$069@12,3;$06B@13,3;$069@14,3;$06B@15,3;$069@16,3;$06B@17,3;$06B@12,4;$069@13,4;$06B@14,4;$069@15,4;$06B@16,4;$069@17,4;$069@12,5;$06B@13,5;$069@14,5;$06B@15,5;$069@16,5;$06B@17,5;$06B@10,6;$06B@9,7;$069@10,7;$06B@11,7;$069@12,7;$06B@8,8;$069@9,8;$06B@10,8;$069@11,8;$06B@12,8",
4,0,0,$0480B0,,,,"$1F6@1,4;$1F6@6,6",,"$1F2@1,9;$1F2@2,9;$1F2@3,9",,
4,1,1,$0480D8,,,,"$1F6@1,4",,"$1F3@13,1;$1F3@15,1;$1F3@3,7;$1F3@5,7;$1F3@7,7;$1F3@9,7;$1F3@11,7",,
4,2,2,$048100,,"$200@6,5",,,,,,
4,3,3,$048128,,,,,"$329@6,3;$31C@11,3;$346@15,3",,,
4,4,4,$048150,,,,,"$300@4,6;$300@14,6","$1F3@3,1;$1F3@4,1","$300@4,6;$300@14,6;$066@4,7;$066@14,7;$062@3,8;$064@4,8;$063@5,8;$065@6,8;$062@13,8;$064@14,8;$063@15,8;$065@16,8;$05C@3,9;$05D@4,9;$05E@5,9;$05F@6,9;$05C@13,9;$05D@14,9;$05E@15,9;$05F@16,9",
4,5,5,$048178,,"$200@15,3",,,,,,
4,6,6,$0481A0,,,,,"$31C@9,3",,"$232@16,7;$233@17,7;$234@16,8;$235@17,8;$236@16,9;$237@17,9",
4,7,7,$0481C8,,,"$1FE@3,1;$1FE@4,1;$1FE@5,1;$1FC@6,1;$1FC@7,1;$1FC@8,1",,,"$1F3@11,8","$068@12,5;$068@11,6;$0ED@12,6;$068@10,7;$0ED@11,7;$068@12,7;$068@9,8;$0ED@10,8;$0ED@12,8;$068@8,9;$0ED@9,9;$068@10,9;$0ED@11,9;$068@12,9",
4,8,8,$048E70,,"$200@8,5","$1FE@2,2;$1FE@8,8",,,,,
4,9,9,$048E98,,,,"$1F8@6,1","$300@2,6","$1F3@17,7","$300@2,6;$066@2,7;$062@1,8;$064@2,8;$063@3,8;$065@4,8;$05C@1,9;$05D@2,9;$05E@3,9;$05F@4,9",
4,10,10,$048EC0,,,"$1FC@1,8","$1F6@3,3;$1F6@4,4;$1F6@5,6",,,"$069@4,2;$069@16,2;$069@17,2;$069@18,2;$069@17,3;$069@18,3;$069@3,5",
4,11,11,$048EE8,,"$2E2@5,5","$1FD@4,3;$1FD@5,3;$1FD@6,3;$1FD@7,3;$1FE@12,3;$1FE@13,3;$1FE@14,3;$1FE@15,3",,,"$1F2@3,5;$1F2@8,5","$232@12,7;$233@13,7;$242@10,8;$243@11,8;$234@12,8;$235@13,8;$244@10,9;$245@11,9;$236@12,9;$237@13,9",
4,12,12,$048F10,,,,,"$30C@6,2;$300@3,3;$300@9,6",,"$116@5,1;$117@6,1;$118@7,1;$119@8,1;$11A@5,2;$30C@6,2;$30D@7,2;$11D@8,2;$300@3,3;$11E@5,3;$30E@6,3;$30F@7,3;$066@3,4;$062@2,5;$064@3,5;$063@4,5;$065@5,5;$05C@2,6;$05D@3,6;$05E@4,6;$05F@5,6;$300@9,6;$066@9,7;$062@8,8;$064@9,8;$063@10,8;$065@11,8;$05C@8,9;$05D@9,9;$05E@10,9;$05F@11,9",
4,13,13,$048F38,,"$200@8,4",,,"$346@13,2;$329@4,3;$346@13,6;$329@4,7",,,
4,14,14,$048F60,"$1E8@19,1;$1E9@19,3",,,,,"$1F3@1,1;$1F3@2,1",,
4,15,15,$048F88,,"$2E2@16,4","$1FF@5,4;$1FE@9,4","$1F8@6,2;$1F8@8,3","$31C@2,3","$1F2@6,1","$232@1,7;$233@2,7;$234@1,8;$235@2,8;$236@1,9;$237@2,9",
4,16,16,$049C30,"$1E2@2,10;$1E3@8,10",,,,"$346@11,4",,,
4,17,17,$049C58,,,,"$1F8@7,2;$1F8@9,3;$1F6@4,4;$1F6@5,6",,,,
4,18,18,$049C80,,,,,,,,
4,19,19,$049CA8,,,,,,"$1F2@4,9;$1F2@7,9;$1F2@16,9",,
4,20,20,$049CD0,,,,"$1F6@13,1;$1F6@14,3;$1F6@13,5;$1F6@14,7",,,,
4,21,21,$049CF8,,,,,"$31C@5,4;$31C@15,4",,"$232@13,5;$233@14,5;$232@4,6;$233@5,6;$242@11,6;$243@12,6;$234@13,6;$235@14,6;$234@4,7;$235@5,7;$244@11,7;$245@12,7;$236@13,7;$237@14,7;$236@4,8;$237@5,8",
4,22,22,$049D20,,,,,"$300@4,5;$346@12,6","$1F3@11,8","$300@4,5;$066@4,6;$062@3,7;$064@4,7;$063@5,7;$065@6,7;$05C@3,8;$05D@4,8;$05E@5,8;$05F@6,8",
4,23,23,$049D48,,,,,"$30C@15,2;$31C@9,3","$1F3@13,1","$116@14,1;$117@15,1;$118@16,1;$119@17,1;$11A@14,2;$30C@15,2;$30D@16,2;$11D@17,2;$11E@14,3;$30E@15,3;$30F@16,3;$0ED@15,8;$068@16,8;$0ED@17,8;$068@18,8;$0ED@16,9;$068@17,9",
4,24,24,$04A9F0,,,,,"$300@7,6",,"$300@7,6;$232@3,7;$233@4,7;$066@7,7;$234@3,8;$235@4,8;$062@6,8;$064@7,8;$063@8,8;$065@9,8;$236@3,9;$237@4,9;$05C@6,9;$05D@7,9;$05E@8,9;$05F@9,9",
4,25,25,$04AA18,,,,"$1F6@1,4;$1F6@4,6;$1F6@7,8",,,,
4,26,26,$04AA40,,,,,"$346@15,4",,,
4,27,27,$04AA68,,,"$1FC@2,3;$1FC@3,3;$1FC@4,3;$1FF@12,3;$1FF@13,3;$1FF@14,3;$1FF@15,3",,,,"$069@2,1;$068@1,3;$069@1,4;$068@17,6;$069@18,6;$068@9,7;$069@17,7;$068@18,7;$069@9,8;$068@10,8;$069@16,8;$068@17,8;$069@18,8;$069@11,9;$068@12,9;$069@13,9;$068@14,9;$069@15,9;$068@16,9;$069@17,9;$068@18,9",
4,28,28,$04AA90,,,,,"$31C@10,3;$346@14,5",,"$068@3,1;$0ED@4,1;$068@5,1;$0ED@6,1;$068@7,1;$0ED@3,2;$069@4,2;$0ED@5,2;$06B@6,2;$0ED@7,2;$069@8,2;$068@3,3;$0ED@4,3;$068@5,3;$0ED@6,3;$068@7,3;$0ED@8,3;$0ED@3,4;$06B@4,4;$0ED@5,4;$069@6,4;$0ED@7,4;$06B@8,4;$0ED@9,4;$068@3,5;$0ED@4,5;$068@5,5;$0ED@6,5;$068@7,5;$0ED@8,5;$068@9,5;$0ED@3,6;$069@4,6;$0ED@5,6;$06B@6,6;$0ED@7,6;$069@8,6;$0ED@9,6;$068@3,7;$0ED@4,7;$068@5,7;$0ED@6,7;$068@7,7;$0ED@8,7;$068@9,7",
4,29,29,$04AAB8,,,"$1FC@2,1;$1FC@3,1;$1FC@4,1;$1FC@2,3;$1FC@3,3;$1FC@4,3","$1F6@1,1;$1F6@6,5",,"$1FA@1,3;$1F3@18,3;$1F2@1,5;$1F3@18,5","$069@1,2;$069@2,2;$069@3,2;$069@4,2;$069@5,2;$069@6,2;$069@7,2;$069@8,2;$069@9,2;$069@10,2;$069@11,2;$069@12,2;$069@13,2;$069@14,2;$069@15,2;$069@17,2;$069@18,2;$069@1,4;$069@2,4;$069@3,4;$069@4,4;$069@5,4;$069@6,4;$069@7,4;$069@8,4;$069@9,4;$069@10,4;$069@11,4;$069@12,4;$069@13,4;$069@14,4;$069@16,4;$069@17,4;$069@18,4;$069@1,6;$069@2,6;$069@3,6;$069@4,6;$069@5,6;$069@6,6;$069@7,6;$069@8,6;$069@9,6;$069@10,6;$069@11,6;$069@12,6;$069@13,6;$069@14,6;$069@15,6;$069@17,6;$069@18,6",
4,30,30,$04AAE0,,"$200@5,5;$200@11,5",,,,,,
4,31,31,$04AB08,,,"$1FE@9,1;$1FE@10,1;$1FE@11,1;$1FC@12,4;$1FC@13,4;$1FC@14,4",,,,"$0ED@13,9;$068@14,9;$0ED@15,9;$068@16,9;$0ED@17,9;$068@13,10;$0ED@14,10;$068@15,10;$0ED@16,10;$068@17,10",
4,32,32,$04B7B0,,,,"$1F8@7,2;$1F6@9,4;$1F8@14,6;$1F6@9,7",,"$1F2@4,2;$1F3@9,2;$1F3@10,2","$069@8,2;$069@8,3;$069@15,3;$069@6,4",
4,33,33,$04B7D8,,,"$1FC@13,1;$1FC@14,1;$1FE@15,1;$1FF@4,8;$1FD@7,8;$1FF@10,8;$1FF@13,8;$1FD@16,8",,,,,
4,34,34,$04B800,,,,,"$346@4,7;$329@13,7","$1F3@2,9;$1F3@3,9;$1F3@4,9",,
4,35,35,$04B828,,,,,,"$1F2@3,4;$1F2@6,4;$1F3@9,4;$1F3@12,4;$1F3@15,4",,
4,36,36,$04B850,,,,,"$346@13,3",,,
4,37,37,$04B878,,,,,"$31C@7,3;$346@15,3;$346@15,7",,"$232@4,7;$233@5,7;$232@10,7;$233@11,7;$234@4,8;$235@5,8;$242@7,8;$243@8,8;$234@10,8;$235@11,8;$236@4,9;$237@5,9;$244@7,9;$245@8,9;$236@10,9;$237@11,9",
4,38,38,$04B8A0,,,,,,"$1F3@3,9;$1F3@5,9","$069@10,2;$069@12,2;$069@14,2;$232@17,4;$233@18,4;$234@17,5;$235@18,5;$236@17,6;$237@18,6",
4,39,39,$04B8C8,,,,,"$300@1,3;$300@15,6","$1F3@8,2;$1F3@9,4","$069@5,2;$06B@6,2;$069@7,2;$300@1,3;$06B@7,3;$069@8,3;$066@1,4;$069@7,4;$06B@8,4;$062@0,5;$064@1,5;$063@2,5;$065@3,5;$06B@7,5;$069@8,5;$069@9,5;$05C@0,6;$05D@1,6;$05E@2,6;$05F@3,6;$069@7,6;$06B@8,6;$069@9,6;$300@15,6;$06B@7,7;$069@8,7;$06B@9,7;$069@10,7;$066@15,7;$069@7,8;$06B@8,8;$069@9,8;$06B@10,8;$069@11,8;$062@14,8;$064@15,8;$063@16,8;$065@17,8;$06B@7,9;$069@8,9;$06B@9,9;$069@10,9;$06B@11,9;$05C@14,9;$05D@15,9;$05E@16,9;$05F@17,9",
4,40,40,$04C570,"$1E3@6,10",,,,"$346@15,2;$300@11,6",,"$300@11,6;$066@11,7;$062@10,8;$064@11,8;$063@12,8;$065@13,8;$05C@10,9;$05D@11,9;$05E@12,9;$05F@13,9",
