level,physical_room,logical_rooms,used,capacity,free,breakdown_json
4,67,67,0,56,56,{}
4,68,68,0,56,56,{}
4,69,69,7,56,49,"{""energy_field_257_25A"": 3, ""mixed_spawn_pit"": 2, ""solid_animation_25F_262"": 1, ""solid_animation_263_266"": 1}"
4,70,70,0,56,56,{}
4,71,71,6,56,50,"{""energy_field_25B_25E"": 2, ""large_cannon_30C"": 1, ""organic_cannon_300"": 1, ""solid_animation_267_26A"": 1, ""solid_animation_26B_26E"": 1}"
4,72,72,1,56,55,"{""portal"": 1}"
4,73,73,8,56,48,"{""energy_field_257_25A"": 4, ""solid_animation_25F_262"": 2, ""solid_animation_263_266"": 2}"
4,74,74,0,56,56,{}
4,75,75,0,56,56,{}
4,76,76,0,56,56,{}
4,77,77,52,56,4,"{""energy_field_257_25A"": 38, ""large_cannon_30C"": 1, ""organic_cannon_300"": 1, ""solid_animation_25F_262"": 6, ""solid_animation_263_266"": 6}"
4,78,78,4,56,52,"{""large_cannon_30C"": 2, ""organic_cannon_300"": 2}"
4,79,79,1,56,55,"{""portal"": 1}"
