level,physical_room,logical_rooms,kind,anchor_x,anchor_y,controller_cost,edit_policy,runtime_role,detail,cells_json
1,8,2,edge_spawn_band,19,3,0,advanced_move_only_preserve_raw_cardinality,,right side; persistent ST/ED endpoint semantics,"[[19, 3, 488], [19, 9, 489]]"
1,9,3,ele_vertical,10,2,0,atomic_place_move_delete_max_5_pairs,,two adjacent runtime object records from slots 43..52,"[[10, 2, 504], [10, 6, 505]]"
1,9,3,ele_vertical,12,3,0,atomic_place_move_delete_max_5_pairs,,two adjacent runtime object records from slots 43..52,"[[12, 3, 504], [12, 7, 505]]"
1,9,3,crp_source,16,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[16, 2, 508]]"
1,9,3,crp_source,17,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[17, 2, 508]]"
1,9,3,crp_source,18,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[18, 2, 508]]"
1,9,3,crp_source,19,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[19, 2, 508]]"
1,10,4,reactor_animation,5,1,1,single_cell_place_move_delete,,RACT DOWN; runtime frames $308-$30B,"[[5, 1, 480]]"
1,10,4,reactor_animation,8,1,1,single_cell_place_move_delete,,RACT DOWN; runtime frames $308-$30B,"[[8, 1, 480]]"
1,10,4,reactor_animation,11,1,1,single_cell_place_move_delete,,RACT DOWN; runtime frames $308-$30B,"[[11, 1, 480]]"
1,11,12,organic_cannon_300,15,5,1,atomic_place_move_delete,,,"[[15, 5, 768], [15, 6, 102], [14, 7, 98], [15, 7, 100], [16, 7, 99], [17, 7, 101], [14, 8, 92], [15, 8, 93], [16, 8, 94], [17, 8, 95]]"
1,11,12,edge_spawn_band,2,10,0,advanced_move_only_preserve_raw_cardinality,,bottom side; persistent ST/ED endpoint semantics,"[[2, 10, 482], [8, 10, 483]]"
1,12,20,rnet_source,8,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[8, 7, 500]]"
1,12,20,rnet_source,9,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[9, 7, 500]]"
1,12,20,crp_source,13,3,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT FAST,"[[13, 3, 509]]"
1,12,20,crp_source,14,3,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT FAST,"[[14, 3, 509]]"
1,12,20,crp_source,15,3,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT FAST,"[[15, 3, 509]]"
1,12,20,crp_source,16,3,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT FAST,"[[16, 3, 509]]"
1,13,19,rnet_source,6,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[6, 7, 500]]"
1,13,19,rnet_source,10,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[10, 7, 500]]"
1,13,19,rnet_source,12,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[12, 7, 500]]"
1,13,19,rnet_source,5,8,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[5, 8, 500]]"
1,13,19,rnet_source,9,8,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[9, 8, 500]]"
1,13,19,crp_source,15,6,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[15, 6, 508]]"
1,14,11,large_cannon_30C,9,3,1,atomic_place_move_delete_preserve_collateral,,,"[[8, 2, 278], [9, 2, 279], [10, 2, 280], [11, 2, 281], [8, 3, 282], [9, 3, 780], [10, 3, 781], [11, 3, 285], [8, 4, 286], [9, 4, 782], [10, 4, 783]]"
1,14,11,landing_pad,15,5,0,move_pair_only_one_per_level,,,"[[15, 5, 804], [16, 5, 805]]"
1,14,11,solid_animation_253_256,14,6,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$253,"[[14, 6, 595]]"
1,14,11,solid_animation_253_256,17,6,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$253,"[[17, 6, 595]]"
1,14,11,solid_animation_253_256,14,7,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$254,"[[14, 7, 596]]"
1,14,11,solid_animation_253_256,17,7,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$254,"[[17, 7, 596]]"
1,14,11,solid_animation_253_256,14,8,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$255,"[[14, 8, 597]]"
1,14,11,solid_animation_253_256,17,8,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$255,"[[17, 8, 597]]"
1,14,11,solid_animation_253_256,14,9,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$256,"[[14, 9, 598]]"
1,14,11,animated_pair_24D_24E,15,9,1,atomic_place_move_delete,,"5-frame horizontal pair: 24D/24E, 24F/250, 251/252, 24F/250, 24D/24E","[[15, 9, 589], [16, 9, 590]]"
1,14,11,solid_animation_253_256,17,9,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$256,"[[17, 9, 598]]"
2,0,3,player_start,14,4,0,move_only_sync_start_room_table,,,"[[14, 4, 43]]"
2,0,3,compound_232_2x3,7,6,1,atomic_place_move_delete,,,"[[7, 6, 562], [8, 6, 563], [7, 7, 564], [8, 7, 565], [7, 8, 566], [8, 8, 567]]"
2,0,3,rnet_source,8,2,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[8, 2, 501]]"
2,0,3,rnet_source,4,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[4, 7, 500]]"
2,0,3,rnet_source,5,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[5, 7, 500]]"
2,0,3,rnet_source,10,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[10, 7, 500]]"
2,1,2,fixed_cannon_31C,10,4,1,single_cell_place_move_delete,,,"[[10, 4, 796]]"
2,2,10,particle_emitter,12,8,1,single_cell_place_move_delete_with_runtime_pool_warning,,child allocator uses shared slots 19..40 and checks failure,"[[12, 8, 159]]"
2,2,10,edge_spawn_band,0,4,0,advanced_move_only_preserve_raw_cardinality,,left side; persistent ST/ED endpoint semantics,"[[0, 4, 484], [0, 6, 485]]"
2,3,9,compound_232_2x3,4,7,1,atomic_place_move_delete,,,"[[4, 7, 562], [5, 7, 563], [4, 8, 564], [5, 8, 565], [4, 9, 566], [5, 9, 567]]"
2,3,9,crp_source,5,3,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[5, 3, 508]]"
2,3,9,crp_source,6,3,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[6, 3, 508]]"
2,3,9,crp_source,7,3,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[7, 3, 508]]"
2,4,1,large_cannon_30C,13,2,1,atomic_place_move_delete_preserve_collateral,,,"[[12, 1, 278], [13, 1, 279], [14, 1, 280], [15, 1, 281], [12, 2, 282], [13, 2, 780], [14, 2, 781], [15, 2, 285], [12, 3, 286], [13, 3, 782], [14, 3, 783]]"
2,4,1,compound_232_2x3,10,6,1,atomic_place_move_delete,,,"[[10, 6, 562], [11, 6, 563], [10, 7, 564], [11, 7, 565], [10, 8, 566], [11, 8, 567]]"
2,4,1,compound_242_2x2,15,7,1,atomic_place_move_delete,,,"[[15, 7, 578], [16, 7, 579], [15, 8, 580], [16, 8, 581]]"
2,4,1,rnet_source,2,1,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[2, 1, 501]]"
2,4,1,rnet_source,3,1,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[3, 1, 501]]"
2,4,1,rnet_source,4,1,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[4, 1, 501]]"
2,5,0,ele_vertical,13,1,0,atomic_place_move_delete_max_5_pairs,,two adjacent runtime object records from slots 43..52,"[[13, 1, 504], [13, 5, 505]]"
2,5,0,ele_vertical,9,2,0,atomic_place_move_delete_max_5_pairs,,two adjacent runtime object records from slots 43..52,"[[9, 2, 504], [9, 6, 505]]"
2,5,0,ele_vertical,11,3,0,atomic_place_move_delete_max_5_pairs,,two adjacent runtime object records from slots 43..52,"[[11, 3, 504], [11, 7, 505]]"
2,6,8,rnet_source,2,6,0,move_delete_add_only_when_total_le_8,live_primary,RNET RIGHT,"[[2, 6, 497]]"
2,6,8,edge_spawn_band,5,10,0,advanced_move_only_preserve_raw_cardinality,,bottom side; persistent ST/ED endpoint semantics,"[[5, 10, 482], [13, 10, 483]]"
2,7,16,solid_animation_26B_26E,2,3,1,single_cell_place_move_delete,,4-frame ascending cycle $26B-$26E; collision=solid; source phase=$26B,"[[2, 3, 619]]"
2,7,16,solid_animation_253_256,3,3,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$253,"[[3, 3, 595]]"
2,7,16,solid_animation_253_256,4,3,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$256,"[[4, 3, 598]]"
2,7,16,large_cannon_30C,16,3,1,atomic_place_move_delete_preserve_collateral,,,"[[15, 2, 278], [16, 2, 279], [17, 2, 280], [18, 2, 281], [15, 3, 282], [16, 3, 780], [17, 3, 781], [18, 3, 285], [15, 4, 286], [16, 4, 782], [17, 4, 783]]"
2,7,16,energy_field_25B_25E,2,4,1,single_cell_place_move_delete,,4-frame ascending cycle $25B-$25E; collision=passable_l1_l3_lethal_l4; source phase=$25B,"[[2, 4, 603]]"
2,7,16,solid_animation_253_256,3,4,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$254,"[[3, 4, 596]]"
2,7,16,solid_animation_253_256,4,4,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$255,"[[4, 4, 597]]"
2,7,16,energy_field_25B_25E,2,5,1,single_cell_place_move_delete,,4-frame ascending cycle $25B-$25E; collision=passable_l1_l3_lethal_l4; source phase=$25E,"[[2, 5, 606]]"
2,7,16,solid_animation_253_256,3,5,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$255,"[[3, 5, 597]]"
2,7,16,solid_animation_253_256,4,5,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$254,"[[4, 5, 596]]"
2,7,16,energy_field_25B_25E,2,6,1,single_cell_place_move_delete,,4-frame ascending cycle $25B-$25E; collision=passable_l1_l3_lethal_l4; source phase=$25C,"[[2, 6, 604]]"
2,7,16,solid_animation_253_256,3,6,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$256,"[[3, 6, 598]]"
2,7,16,solid_animation_253_256,4,6,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$253,"[[4, 6, 595]]"
2,7,16,solid_animation_267_26A,2,7,1,single_cell_place_move_delete,,4-frame ascending cycle $267-$26A; collision=solid; source phase=$26A,"[[2, 7, 618]]"
2,7,16,solid_animation_253_256,3,7,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$255,"[[3, 7, 597]]"
2,7,16,solid_animation_253_256,4,7,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$254,"[[4, 7, 596]]"
2,7,16,compound_232_2x3,11,7,1,atomic_place_move_delete,,,"[[11, 7, 562], [12, 7, 563], [11, 8, 564], [12, 8, 565], [11, 9, 566], [12, 9, 567]]"
2,7,16,compound_242_2x2,8,8,1,atomic_place_move_delete,,,"[[8, 8, 578], [9, 8, 579], [8, 9, 580], [9, 9, 581]]"
2,8,17,reactor_animation,3,2,1,single_cell_place_move_delete,,RACT DOWN; runtime frames $308-$30B,"[[3, 2, 480]]"
2,8,17,reactor_animation,17,2,1,single_cell_place_move_delete,,RACT DOWN; runtime frames $308-$30B,"[[17, 2, 480]]"
2,8,17,compound_242_2x2,3,7,1,atomic_place_move_delete,,,"[[3, 7, 578], [4, 7, 579], [3, 8, 580], [4, 8, 581]]"
2,8,17,edge_spawn_band,19,2,0,advanced_move_only_preserve_raw_cardinality,,right side; persistent ST/ED endpoint semantics,"[[19, 2, 488], [19, 7, 489]]"
2,9,18,fixed_cannon_31C,16,4,1,single_cell_place_move_delete,,,"[[16, 4, 796]]"
2,9,18,organic_cannon_300,9,6,1,atomic_place_move_delete,,,"[[9, 6, 768], [9, 7, 102], [8, 8, 98], [9, 8, 100], [10, 8, 99], [11, 8, 101], [8, 9, 92], [9, 9, 93], [10, 9, 94], [11, 9, 95]]"
2,9,18,compound_232_2x3,17,7,1,atomic_place_move_delete,,,"[[17, 7, 562], [18, 7, 563], [17, 8, 564], [18, 8, 565], [17, 9, 566], [18, 9, 567]]"
2,9,18,rnet_source,13,8,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[13, 8, 500]]"
2,9,18,rnet_source,14,8,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[14, 8, 500]]"
2,9,18,rnet_source,12,9,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[12, 9, 500]]"
2,9,18,rnet_source,15,9,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[15, 9, 500]]"
2,10,19,left_gun_346,12,6,1,single_cell_place_move_delete,,,"[[12, 6, 838]]"
2,11,11,right_gun_329,6,4,1,single_cell_place_move_delete,,,"[[6, 4, 809]]"
2,11,11,crp_source,11,5,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT FAST,"[[11, 5, 509]]"
2,11,11,crp_source,12,5,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT FAST,"[[12, 5, 509]]"
2,11,11,crp_source,13,5,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT FAST,"[[13, 5, 509]]"
2,11,11,crp_source,14,5,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT FAST,"[[14, 5, 509]]"
2,11,11,crp_source,11,7,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP RIGHT SLOW,"[[11, 7, 510]]"
2,11,11,crp_source,12,7,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP RIGHT SLOW,"[[12, 7, 510]]"
2,11,11,crp_source,13,7,0,move_delete_add_only_when_total_le_6,overflow_overwritten,CRP RIGHT SLOW,"[[13, 7, 510]]"
2,11,11,crp_source,14,7,0,move_delete_add_only_when_total_le_6,overflow_slot76_live,CRP RIGHT SLOW,"[[14, 7, 510]]"
2,12,12,crp_source,8,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[8, 2, 508]]"
2,12,12,crp_source,9,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[9, 2, 508]]"
2,12,12,crp_source,10,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[10, 2, 508]]"
2,12,12,crp_source,11,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[11, 2, 508]]"
2,12,12,crp_source,12,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[12, 2, 508]]"
2,12,12,crp_source,13,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[13, 2, 508]]"
2,12,12,crp_source,14,2,0,move_delete_add_only_when_total_le_6,overflow_slot76_live,CRP LEFT SLOW,"[[14, 2, 508]]"
2,13,4,energy_field_25B_25E,17,4,1,single_cell_place_move_delete,,4-frame ascending cycle $25B-$25E; collision=passable_l1_l3_lethal_l4; source phase=$25C,"[[17, 4, 604]]"
2,13,4,energy_field_25B_25E,17,5,1,single_cell_place_move_delete,,4-frame ascending cycle $25B-$25E; collision=passable_l1_l3_lethal_l4; source phase=$25B,"[[17, 5, 603]]"
2,13,4,crp_source,16,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[16, 2, 508]]"
2,13,4,crp_source,17,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[17, 2, 508]]"
2,13,4,crp_source,18,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[18, 2, 508]]"
2,13,4,crp_source,19,2,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT SLOW,"[[19, 2, 508]]"
2,13,4,crp_source,6,4,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT FAST,"[[6, 4, 509]]"
2,13,4,crp_source,12,4,0,move_delete_add_only_when_total_le_6,dedicated_live,CRP LEFT FAST,"[[12, 4, 509]]"
2,14,5,edge_spawn_band,3,10,0,advanced_move_only_preserve_raw_cardinality,,bottom side; persistent ST/ED endpoint semantics,"[[3, 10, 482], [16, 10, 483]]"
2,15,13,organic_cannon_300,13,5,1,atomic_place_move_delete,,,"[[13, 5, 768], [13, 6, 102], [12, 7, 98], [13, 7, 100], [14, 7, 99], [15, 7, 101], [12, 8, 92], [13, 8, 93], [14, 8, 94], [15, 8, 95]]"
2,15,13,edge_spawn_band,3,10,0,advanced_move_only_preserve_raw_cardinality,,bottom side; persistent ST/ED endpoint semantics,"[[3, 10, 482], [10, 10, 483]]"
2,16,21,large_cannon_30C,14,4,1,atomic_place_move_delete_preserve_collateral,,,"[[13, 3, 278], [14, 3, 279], [15, 3, 280], [16, 3, 281], [13, 4, 282], [14, 4, 780], [15, 4, 781], [16, 4, 285], [13, 5, 286], [14, 5, 782], [15, 5, 783]]"
2,16,21,compound_232_2x3,6,5,1,atomic_place_move_delete,,,"[[6, 5, 562], [7, 5, 563], [6, 6, 564], [7, 6, 565], [6, 7, 566], [7, 7, 567]]"
2,16,21,compound_242_2x2,3,7,1,atomic_place_move_delete,,,"[[3, 7, 578], [4, 7, 579], [3, 8, 580], [4, 8, 581]]"
2,17,20,fixed_cannon_31C,5,3,1,single_cell_place_move_delete,,,"[[5, 3, 796]]"
2,17,20,rnet_source,15,2,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[15, 2, 501]]"
2,17,20,rnet_source,9,3,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[9, 3, 501]]"
2,17,20,rnet_source,13,3,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[13, 3, 501]]"
2,17,20,rnet_source,11,4,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[11, 4, 501]]"
2,17,20,rnet_source,10,9,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[10, 9, 500]]"
2,17,20,rnet_source,12,9,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[12, 9, 500]]"
2,18,28,compound_232_2x3,3,6,1,atomic_place_move_delete,,,"[[3, 6, 562], [4, 6, 563], [3, 7, 564], [4, 7, 565], [3, 8, 566], [4, 8, 567]]"
2,19,27,right_gun_329,5,8,1,single_cell_place_move_delete,,,"[[5, 8, 809]]"
2,19,27,particle_emitter,8,9,1,single_cell_place_move_delete_with_runtime_pool_warning,,child allocator uses shared slots 19..40 and checks failure,"[[8, 9, 159]]"
2,20,26,compound_232_2x3,3,6,1,atomic_place_move_delete,,,"[[3, 6, 562], [4, 6, 563], [3, 7, 564], [4, 7, 565], [3, 8, 566], [4, 8, 567]]"
2,20,26,rnet_source,8,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[8, 7, 500]]"
2,20,26,rnet_source,9,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[9, 7, 500]]"
2,20,26,rnet_source,13,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[13, 7, 500]]"
2,20,26,rnet_source,14,7,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[14, 7, 500]]"
2,20,26,rnet_source,11,8,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[11, 8, 500]]"
2,20,26,edge_spawn_band,0,2,0,advanced_move_only_preserve_raw_cardinality,,left side; persistent ST/ED endpoint semantics,"[[0, 2, 484], [0, 8, 485]]"
2,21,25,solid_animation_253_256,5,4,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$253,"[[5, 4, 595]]"
2,21,25,solid_animation_253_256,8,4,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$256,"[[8, 4, 598]]"
2,21,25,solid_animation_253_256,5,5,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$254,"[[5, 5, 596]]"
2,21,25,energy_field_25B_25E,6,5,1,single_cell_place_move_delete,,4-frame ascending cycle $25B-$25E; collision=passable_l1_l3_lethal_l4; source phase=$25D,"[[6, 5, 605]]"
2,21,25,energy_field_25B_25E,7,5,1,single_cell_place_move_delete,,4-frame ascending cycle $25B-$25E; collision=passable_l1_l3_lethal_l4; source phase=$25C,"[[7, 5, 604]]"
2,21,25,solid_animation_253_256,8,5,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$255,"[[8, 5, 597]]"
2,21,25,solid_animation_253_256,5,6,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$255,"[[5, 6, 597]]"
2,21,25,energy_field_25B_25E,6,6,1,single_cell_place_move_delete,,4-frame ascending cycle $25B-$25E; collision=passable_l1_l3_lethal_l4; source phase=$25C,"[[6, 6, 604]]"
2,21,25,energy_field_25B_25E,7,6,1,single_cell_place_move_delete,,4-frame ascending cycle $25B-$25E; collision=passable_l1_l3_lethal_l4; source phase=$25D,"[[7, 6, 605]]"
2,21,25,solid_animation_253_256,8,6,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$254,"[[8, 6, 596]]"
2,21,25,solid_animation_253_256,5,7,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$256,"[[5, 7, 598]]"
2,21,25,animated_pair_24D_24E,6,7,1,atomic_place_move_delete,,"5-frame horizontal pair: 24D/24E, 24F/250, 251/252, 24F/250, 24D/24E","[[6, 7, 589], [7, 7, 590]]"
2,21,25,solid_animation_253_256,8,7,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$253,"[[8, 7, 595]]"
2,21,25,solid_animation_253_256,5,8,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$253,"[[5, 8, 595]]"
2,21,25,solid_animation_253_256,8,8,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$256,"[[8, 8, 598]]"
2,21,25,ele_vertical,12,2,0,atomic_place_move_delete_max_5_pairs,,two adjacent runtime object records from slots 43..52,"[[12, 2, 504], [12, 6, 505]]"
2,21,25,edge_spawn_band,0,2,0,advanced_move_only_preserve_raw_cardinality,,left side; persistent ST/ED endpoint semantics,"[[0, 2, 484], [0, 8, 485]]"
2,22,24,landing_pad,6,5,0,move_pair_only_one_per_level,,,"[[6, 5, 804], [7, 5, 805]]"
2,22,24,solid_animation_253_256,5,6,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$253,"[[5, 6, 595]]"
2,22,24,solid_animation_253_256,8,6,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$253,"[[8, 6, 595]]"
2,22,24,solid_animation_253_256,5,7,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$254,"[[5, 7, 596]]"
2,22,24,solid_animation_253_256,8,7,1,single_cell_place_move_delete,,4-frame descending cycle $253-$256; collision=solid; source phase=$254,"[[8, 7, 596]]"
